"Freq [kHz]","Phase [deg]","W_winding [mm]","r_leg [mm]","Mag_B [mTesla]"
500,0,8,4,578.149676818846
500,0,8,5,335.042131794225
500,0,8,6,231.299912701392
500,0,8,7,180.802858276373
500,0,8,8,138.602861275717
500,0,8,9,101.364259294539
500,0,8,10,89.3346627879442
500,0,8,11,69.9999151906269
500,0,8,12,62.9439099603429
500,0,8,13,48.8899610065537
500,0,8,14,42.7582549029772
500,0,8,15,35.9044949600987
500,0,8,16,32.0160168651301
500,0,9,4,544.773874334701
500,0,9,5,349.109587353532
500,0,9,6,242.623814801318
500,0,9,7,184.127827750864
500,0,9,8,133.734851737701
500,0,9,9,103.421193765344
500,0,9,10,82.8762963885604
500,0,9,11,69.0900554849457
500,0,9,12,60.9764410379872
500,0,9,13,47.5098415038762
500,0,9,14,43.0347103611577
500,0,9,15,37.7350361046676
500,0,9,16,32.3765584853581
500,0,10,4,562.125901735867
500,0,10,5,360.424135931964
500,0,10,6,244.74831943727
500,0,10,7,177.128693464245
500,0,10,8,135.205306314628
500,0,10,9,109.212636563526
500,0,10,10,87.1021013290416
500,0,10,11,69.6498425794084
500,0,10,12,62.4490375096711
500,0,10,13,50.7542087369961
500,0,10,14,43.1259430393577
500,0,10,15,37.0763680502603
500,0,10,16,30.6923053559183
500,0,11,4,602.648214489064
500,0,11,5,350.65028274885
500,0,11,6,246.671761798533
500,0,11,7,190
500,0,11,8,133.587720871721
500,0,11,9,116.497059066824
500,0,11,10,83.3294366978202
500,0,11,11,72.3851123133801
500,0,11,12,58.7543498746926
500,0,11,13,49.0586894866881
500,0,11,14,44.9842200528978
500,0,11,15,35.1136377170396
500,0,11,16,32.7446161058546
500,0,12,4,595.837443491745
500,0,12,5,364.202517858306
500,0,12,6,243.980942928084
500,0,12,7,172.494465485809
500,0,12,8,132.648563505324
500,0,12,9,109.967970417293
500,0,12,10,86.1539813825607
500,0,12,11,67.2365903365731
500,0,12,12,60.505763795764
500,0,12,13,49.9910303706325
500,0,12,14,41.4017630307334
500,0,12,15,35.8771165895984
500,0,12,16,31.21311957489
500,0,13,4,590.676005140891
500,0,13,5,361.035959309377
500,0,13,6,238.75864089644
500,0,13,7,181.297526511164
500,0,13,8,135.153450385285
500,0,13,9,107.362071179162
500,0,13,10,81.720409894447
500,0,13,11,69.3620064043787
500,0,13,12,58.4520375020609
500,0,13,13,49.736546108442
500,0,13,14,43.1159818748336
500,0,13,15,34.9610517815789
500,0,13,16,31.3696265603544
500,0,14,4,602.471597858765
500,0,14,5,365.285658499498
500,0,14,6,256.257819153852
500,0,14,7,178.182619856868
500,0,14,8,135.417549133199
500,0,14,9,115.261090504923
500,0,14,10,91.4601944682247
500,0,14,11,68.39982602581
500,0,14,12,59.102698147142
500,0,14,13,52.6288084736932
500,0,14,14,43.0758698956196
500,0,14,15,34.8154488755823
500,0,14,16,30.4986169254995
500,0,15,4,644.896041272604
500,0,15,5,362.429627143992
500,0,15,6,262.637965188086
500,0,15,7,180.362701292349
500,0,15,8,145.12185433955
500,0,15,9,106.369086532491
500,0,15,10,82.0929763276518
500,0,15,11,71.8745491778634
500,0,15,12,57.867416126566
500,0,15,13,45.6032249232238
500,0,15,14,40.5573534638702
500,0,15,15,33.1265375284797
500,0,15,16,31.508854445438
