"Freq [kHz]","Phase [deg]","W_winding [mm]","r_leg [mm]","Mag_B [mTesla]"
500,0,8,4,406.503558342893
500,0,8,5,252.620797209099
500,0,8,6,170.387577327591
500,0,8,7,128.109781800028
500,0,8,8,97.3848671370646
500,0,8,9,78.1067441613516
500,0,8,10,59.1341323907221
500,0,8,11,50.1444488137193
500,0,8,12,40.1092120003067
500,0,8,13,32.9775731886421
500,0,8,14,29.3920772533252
500,0,8,15,27.5676017520456
500,0,8,16,24.3068661806982
500,0,9,4,384.739169699559
500,0,9,5,250.907600137577
500,0,9,6,173.64205140772
500,0,9,7,132.280575992732
500,0,9,8,96.6604536353043
500,0,9,9,77.1654484830022
500,0,9,10,57.8074756634627
500,0,9,11,49.3924707321939
500,0,9,12,40.2186700009792
500,0,9,13,37.4121802929634
500,0,9,14,30.4515892874918
500,0,9,15,25.3018809895716
500,0,9,16,23.4523160967778
500,0,10,4,405.390516942985
500,0,10,5,256.844843452735
500,0,10,6,173.272818054537
500,0,10,7,131.57433962328
500,0,10,8,99.9320459570958
500,0,10,9,80.0669120939704
500,0,10,10,63.1998920169481
500,0,10,11,50.0128811134483
500,0,10,12,39.5201558044889
500,0,10,13,36.0883394330953
500,0,10,14,32.0235188795222
500,0,10,15,26.3860755654212
500,0,10,16,24.7277150367887
500,0,11,4,421.523542024814
500,0,11,5,249.977649239942
500,0,11,6,175.142951751379
500,0,11,7,124.918347654896
500,0,11,8,91.7237324346906
500,0,11,9,75.2595456200939
500,0,11,10,59.8312617530527
500,0,11,11,47.4241671743123
500,0,11,12,43.6393438070723
500,0,11,13,34.2038232406217
500,0,11,14,29.6643432666971
500,0,11,15,25.6787453224212
500,0,11,16,21.9226524185435
500,0,12,4,412.638403541299
500,0,12,5,263.069464975227
500,0,12,6,159.486884360769
500,0,12,7,126.389018565346
500,0,12,8,102.7496700512
500,0,12,9,70.7870846763512
500,0,12,10,63.5267650042176
500,0,12,11,54.1555434584051
500,0,12,12,41.7495003846954
500,0,12,13,33.9869552739448
500,0,12,14,31.2965542113555
500,0,12,15,26.2373856131034
500,0,12,16,20.8144730213147
500,0,13,4,448.0876097576
500,0,13,5,260.636620152772
500,0,13,6,178.948139671469
500,0,13,7,127.67782939305
500,0,13,8,96.206426606442
500,0,13,9,78.9591527858287
500,0,13,10,66.711535171521
500,0,13,11,46.5464554675295
500,0,13,12,44.1849946045744
500,0,13,13,36.9428912220293
500,0,13,14,29.9108251480406
500,0,13,15,25.0443340447094
500,0,13,16,23.0339225552649
500,0,14,4,437.006699613947
500,0,14,5,258.117994047594
500,0,14,6,191.824782199204
500,0,14,7,130.178670399445
500,0,14,8,96.9445055675441
500,0,14,9,75.4052430839123
500,0,14,10,60.1036665347129
500,0,14,11,49.7462102961199
500,0,14,12,41.1458162899774
500,0,14,13,36.706134855783
500,0,14,14,29.7058081863965
500,0,14,15,25.3791817129627
500,0,14,16,22.3992618341478
500,0,15,4,457.365190937273
500,0,15,5,273.286388690869
500,0,15,6,182.240452879598
500,0,15,7,128.367222656996
500,0,15,8,99.7878883459849
500,0,15,9,81.0390668136955
500,0,15,10,61.9840776938096
500,0,15,11,47.5256660333384
500,0,15,12,44.1930396389017
500,0,15,13,37.5224223293089
500,0,15,14,30.328980238557
500,0,15,15,25.5376705748251
500,0,15,16,21.7599045267504
