"Freq [kHz]","Phase [deg]","W_winding [mm]","r_leg [mm]","All_Core_Total_Loss []"
500,0,8,4,58.5869863450421
500,0,8,5,30.8908470256776
500,0,8,6,21.7829175301222
500,0,8,7,18.4873550837612
500,0,8,8,17.4896453264298
500,0,8,9,17.583788422903
500,0,8,10,18.1454773265578
500,0,8,11,18.9240132061997
500,0,8,12,19.8903427998629
500,0,9,4,62.44696263207
500,0,9,5,32.0389462253584
500,0,9,6,22.0833207264827
500,0,9,7,18.6299495379186
500,0,9,8,17.5183184366337
500,0,9,9,17.5794981361039
500,0,9,10,18.1131969903046
500,0,9,11,18.9754777918386
500,0,9,12,19.9052138827533
500,0,10,4,66.3189281098323
500,0,10,5,33.1925420031237
500,0,10,6,22.4157600311843
500,0,10,7,18.5855391812772
500,0,10,8,17.5371419068231
500,0,10,9,17.5530356271518
500,0,10,10,18.0575990244598
500,0,10,11,18.9123627017242
500,0,10,12,19.8985869022145
500,0,11,4,70.2816060129079
500,0,11,5,34.356427514444
500,0,11,6,22.8402815132446
500,0,11,7,18.6703495399033
500,0,11,8,17.4088715434256
500,0,11,9,17.4174722545527
500,0,11,10,17.9166655304265
500,0,11,11,18.7930640697429
500,0,11,12,19.7922020040343
500,0,12,4,74.389279012276
500,0,12,5,35.5495720228771
500,0,12,6,22.9969307866019
500,0,12,7,18.495100905728
500,0,12,8,17.1111278815547
500,0,12,9,17.2362487707561
500,0,12,10,17.7608967868897
500,0,12,11,18.5969799212389
500,0,12,12,19.6077419149712
500,0,13,4,78.1461243531922
500,0,13,5,36.7812002295053
500,0,13,6,23.2345429884923
500,0,13,7,18.4516038336162
500,0,13,8,17.0267377206043
500,0,13,9,16.9347506674203
500,0,13,10,17.452335577881
500,0,13,11,18.4285606150881
500,0,13,12,19.4444231451177
500,0,14,4,82.0615518939424
500,0,14,5,37.9842755400936
500,0,14,6,23.488389496523
500,0,14,7,18.327677336416
500,0,14,8,16.7921683165856
500,0,14,9,16.6046120417972
500,0,14,10,17.2815752374445
500,0,14,11,18.0444434902262
500,0,14,12,19.2080705958156
500,0,15,4,85.9857204106093
500,0,15,5,39.1389997864992
500,0,15,6,23.8028937576632
500,0,15,7,18.1128057322962
500,0,15,8,16.4457613881097
500,0,15,9,16.3177799394033
500,0,15,10,16.9450660269886
500,0,15,11,17.7787892342941
500,0,15,12,18.9139234836048
