"Freq [kHz]","Phase [deg]","W_winding [mm]","r_leg [mm]","Mag_B [mTesla]"
500,0,8,4,443.118017004233
500,0,8,5,273.639915250472
500,0,8,6,186.162139140379
500,0,8,7,139.909280852949
500,0,8,8,98.2365254090806
500,0,8,9,81.6955748566543
500,0,8,10,67.8290846202154
500,0,8,11,55.1509062637522
500,0,8,12,44.9901959135411
500,0,9,4,430.887591458177
500,0,9,5,282.098341522457
500,0,9,6,186.051197805644
500,0,9,7,141.353216943568
500,0,9,8,105.72871450801
500,0,9,9,78.8311663507626
500,0,9,10,67.955612397187
500,0,9,11,55.224046716863
500,0,9,12,44.6829336812982
500,0,10,4,434.125169912986
500,0,10,5,268.171173440263
500,0,10,6,177.140049354564
500,0,10,7,137.232491670754
500,0,10,8,107.523211752522
500,0,10,9,81.4006732899649
500,0,10,10,67.9049896062195
500,0,10,11,53.605147753704
500,0,10,12,47.3396362938056
500,0,11,4,436.776623546064
500,0,11,5,285.475601043957
500,0,11,6,186.087021167063
500,0,11,7,137.821340668302
500,0,11,8,98.9522981737747
500,0,11,9,84.0912381819387
500,0,11,10,65.1094837162195
500,0,11,11,53.376074919746
500,0,11,12,42.4826834727403
500,0,12,4,460.358421682955
500,0,12,5,277.959276075381
500,0,12,6,182.150561002973
500,0,12,7,132.386873771674
500,0,12,8,100.675269700192
500,0,12,9,74.7235049863018
500,0,12,10,65.1121654858743
500,0,12,11,53.3102406674303
500,0,12,12,47.4397217465828
500,0,13,4,473.09236611883
500,0,13,5,278.356261002919
500,0,13,6,187.527319943232
500,0,13,7,140.911175394909
500,0,13,8,102.970994201238
500,0,13,9,82.8578667793482
500,0,13,10,64.3198319912687
500,0,13,11,53.0409382741267
500,0,13,12,47.0670845935847
500,0,14,4,443.114229013412
500,0,14,5,280.101331048903
500,0,14,6,193.196200896244
500,0,14,7,137.790032207794
500,0,14,8,103.483485533296
500,0,14,9,79.0723347469887
500,0,14,10,61.8224685241033
500,0,14,11,48.2193476521641
500,0,14,12,42.6235295509356
500,0,15,4,453.556654871017
500,0,15,5,288.333982734367
500,0,15,6,186.60797597452
500,0,15,7,138.633465604477
500,0,15,8,99.9034611999544
500,0,15,9,76.7964049306919
500,0,15,10,63.1373678672075
500,0,15,11,52.3543278965012
500,0,15,12,44.9229855009746
