"Freq [kHz]","Phase [deg]","W_winding [mm]","r_leg [mm]","All_Core_Total_Loss []"
500,0,8,4,888.140674883537
500,0,8,5,380.673611145829
500,0,8,6,201.33516069275
500,0,8,7,125.97522986539
500,0,8,8,90.1135203170102
500,0,8,9,71.4360398872013
500,0,8,10,61.7676710643233
500,0,8,11,56.5488122751929
500,0,8,12,54.2602276112381
500,0,8,13,53.3676341677499
500,0,8,14,53.3204153250373
500,0,8,15,54.1547060620647
500,0,8,16,55.6903245074972
500,0,9,4,955.899535748892
500,0,9,5,402.815211730423
500,0,9,6,210.557811012783
500,0,9,7,130.022765237795
500,0,9,8,91.9932547545599
500,0,9,9,72.3450833250252
500,0,9,10,61.7240216212506
500,0,9,11,56.493455014965
500,0,9,12,54.013601379527
500,0,9,13,53.1205538902068
500,0,9,14,53.2205883266134
500,0,9,15,54.0372963715862
500,0,9,16,55.1368570947051
500,0,10,4,1020.31995819036
500,0,10,5,426.812508476107
500,0,10,6,220.671180732413
500,0,10,7,134.848791933066
500,0,10,8,92.5940791590987
500,0,10,9,72.9623648342414
500,0,10,10,62.011743995265
500,0,10,11,56.0694001314964
500,0,10,12,53.6332394597216
500,0,10,13,52.5150049794547
500,0,10,14,52.7084939152614
500,0,10,15,53.6376910159543
500,0,10,16,54.6137646765523
500,0,11,4,1091.80469492583
500,0,11,5,450.859871927467
500,0,11,6,230.72363573954
500,0,11,7,138.280462830495
500,0,11,8,95.2079490126998
500,0,11,9,73.4679992750012
500,0,11,10,62.0469361911748
500,0,11,11,55.5642044530998
500,0,11,12,53.0734141978037
500,0,11,13,52.1498069538482
500,0,11,14,52.140055011419
500,0,11,15,53.0024253457294
500,0,11,16,54.3961368976115
500,0,12,4,1156.18759117993
500,0,12,5,475.393428405423
500,0,12,6,239.132895073487
500,0,12,7,141.88872546833
500,0,12,8,96.9602603654543
500,0,12,9,73.46944822236
500,0,12,10,61.5790291357378
500,0,12,11,55.4748192811528
500,0,12,12,53.4748192811528
500,0,12,13,51.4047184647682
500,0,12,14,51.3499662293104
500,0,12,15,52.1584705245429
500,0,12,16,53.6778130073956
