"Freq [kHz]","Phase [deg]","W_winding [mm]","r_leg [mm]","Mag_B [tesla]"
500,0,8,4,1.22666625509251
500,0,8,5,0.710862417787233
500,0,8,6,0.490751459514582
500,0,8,7,0.383611327592767
500,0,8,8,0.294075149746139
500,0,8,9,0.215065615937394
500,0,8,10,0.189542294402066
500,0,8,11,0.148519556901098
500,0,8,12,0.133548756330306
500,0,8,13,0.10373034489876
500,0,8,14,0.0907206395145379
500,0,8,15,0.0761789448988928
500,0,8,16,0.0679287199934439
500,0,9,4,1.15585246363765
500,0,9,5,0.74070948632578
500,0,9,6,0.514777501799005
500,0,9,7,0.390665950326745
500,0,9,8,0.283746642667129
500,0,9,9,0.219429835456046
500,0,9,10,0.175839510429691
500,0,9,11,0.146589097986147
500,0,9,12,0.129374356807549
500,0,9,13,0.100802130822367
500,0,9,14,0.0913071979701914
500,0,9,15,0.0800628233142182
500,0,9,16,0.0686936849442583
500,0,10,4,1.1926684428279
500,0,10,5,0.764715683145089
500,0,10,6,0.519285085648266
500,0,10,7,0.375815813435645
500,0,10,8,0.286866521621473
500,0,10,9,0.231717600603551
500,0,10,10,0.184805445254071
500,0,10,11,0.147776804156969
500,0,10,12,0.132498780242567
500,0,10,13,0.107685738932143
500,0,10,14,0.0915007673039144
500,0,10,15,0.0786653203697845
500,0,10,16,0.0651201873505508
500,0,11,4,1.27864506034672
500,0,11,5,0.74397839596388
500,0,11,6,0.523366073552824
500,0,11,7,0.386725111784401
500,0,11,8,0.283434473560131
500,0,11,9,0.247173036506816
500,0,11,10,0.176800942993733
500,0,11,11,0.153580254743849
500,0,11,12,0.124659722595978
500,0,11,13,0.104088337891176
500,0,11,14,0.095443493204396
500,0,11,15,0.0745009747614766
500,0,11,16,0.0694745966719605
500,0,12,4,1.26419457582911
500,0,12,5,0.772732315850626
500,0,12,6,0.517656934830843
500,0,12,7,0.365983323152445
500,0,12,8,0.281441853489932
500,0,12,9,0.233320200391948
500,0,12,10,0.182793809183399
500,0,12,11,0.142656581470706
500,0,12,12,0.128375715948248
500,0,12,13,0.106066495358736
500,0,12,14,0.0878425564303363
500,0,12,15,0.0761208559220038
500,0,12,16,0.0662252043612062
