"Freq [kHz]","Phase [deg]","W_winding [mm]","r_leg [mm]","Mag_B [mTesla]"
500,0,8,4,376.617793985561
500,0,8,5,253.982707374367
500,0,8,6,172.572093249589
500,0,8,7,121.261850615599
500,0,8,8,91.483482880819
500,0,8,9,71.6183766310064
500,0,8,10,59.843008680371
500,0,8,11,44.4568850738047
500,0,8,12,42.2088000447176
500,0,8,13,34.4203553916776
500,0,8,14,28.9562531560457
500,0,8,15,25.3449502641324
500,0,8,16,24.5553747273176
500,0,9,4,372.567436246553
500,0,9,5,227.146072490306
500,0,9,6,160.304007433786
500,0,9,7,119.602434005622
500,0,9,8,88.1887486641898
500,0,9,9,73.6655623651814
500,0,9,10,57.2753012014816
500,0,9,11,49.0912621246556
500,0,9,12,39.963784817001
500,0,9,13,33.0680896421438
500,0,9,14,27.4659618651211
500,0,9,15,26.645571159643
500,0,9,16,21.2264727030849
500,0,10,4,368.986833132943
500,0,10,5,239.614062476052
500,0,10,6,156.609740519239
500,0,10,7,124.285446093005
500,0,10,8,92.5582766829543
500,0,10,9,78.1939347777635
500,0,10,10,58.4277850017902
500,0,10,11,48.0211869758713
500,0,10,12,40.2260570034114
500,0,10,13,33.4574938764574
500,0,10,14,28.9630681171977
500,0,10,15,25.2003973253419
500,0,10,16,22.0079678308152
500,0,11,4,381.614587312502
500,0,11,5,250.047767881115
500,0,11,6,178.556273102978
500,0,11,7,125.446011845643
500,0,11,8,94.7255870191594
500,0,11,9,77.5307410460497
500,0,11,10,56.2713764923243
500,0,11,11,45.359924391833
500,0,11,12,36.8401124782361
500,0,11,13,35.5562365916738
500,0,11,14,28.0688835201136
500,0,11,15,23.5899281745653
500,0,11,16,21.0778180618843
500,0,12,4,369.909719128131
500,0,12,5,223.716580754226
500,0,12,6,162.473266919742
500,0,12,7,127.822173434726
500,0,12,8,94.9418080750756
500,0,12,9,72.4610878761424
500,0,12,10,59.8530841330308
500,0,12,11,48.765671667159
500,0,12,12,40.6044157187732
500,0,12,13,34.2062189961322
500,0,12,14,28.9947881687933
500,0,12,15,24.2225979951169
500,0,12,16,20.7845000982368
500,0,13,4,393.907630478202
500,0,13,5,239.415042397603
500,0,13,6,166.316519290969
500,0,13,7,121.734251330729
500,0,13,8,91.9871024884451
500,0,13,9,70.340435876975
500,0,13,10,60.4171532711293
500,0,13,11,49.018060369854
500,0,13,12,41.8473936100878
500,0,13,13,33.5242786320734
500,0,13,14,26.6791788836381
500,0,13,15,26.2306553482364
500,0,13,16,23.1163824796579
500,0,14,4,364.549904705836
500,0,14,5,263.153989279803
500,0,14,6,171.967232415082
500,0,14,7,122.604817713534
500,0,14,8,89.4901031154505
500,0,14,9,75.5692063974475
500,0,14,10,52.1915156079219
500,0,14,11,48.4206352773628
500,0,14,12,42.4053734286102
500,0,14,13,32.8943378396293
500,0,14,14,29.9404705917447
500,0,14,15,24.7146411176342
500,0,14,16,21.3572727983494
500,0,15,4,384.941321690823
500,0,15,5,239.216051111066
500,0,15,6,165.928375615653
500,0,15,7,113.172204872614
500,0,15,8,95.762346486437
500,0,15,9,68.9485866625847
500,0,15,10,55.3273423307333
500,0,15,11,44.7482929301909
500,0,15,12,38.9402518583618
500,0,15,13,32.8953931608843
500,0,15,14,27.6810784798025
500,0,15,15,25.6906971561924
500,0,15,16,20.1766909882437
