"Freq [kHz]","Phase [deg]","W_winding [mm]","r_leg [mm]","All_Core_Total_Loss []"
500,0,8,4,210.641692714214
500,0,8,5,102.163885340706
500,0,8,6,63.9085620634362
500,0,8,7,48.71086108493
500,0,8,8,42.2333397104892
500,0,8,9,39.553050364235
500,0,8,10,38.8396419197551
500,0,8,11,39.2329097535789
500,0,8,12,40.2723971114389
500,0,8,13,41.5780456825399
500,0,8,14,43.1505878261547
500,0,8,15,44.8019915160166
500,0,8,16,46.5870147241967
500,0,9,4,225.248538777331
500,0,9,5,107.253857434441
500,0,9,6,65.997051978747
500,0,9,7,49.8830662835232
500,0,9,8,42.6758932668654
500,0,9,9,39.9718578619837
500,0,9,10,39.1802817342473
500,0,9,11,39.5610818727245
500,0,9,12,40.5791718342991
500,0,9,13,41.9652006100716
500,0,9,14,43.5443568723126
500,0,9,15,45.2912967805286
500,0,9,16,47.1773912157655
500,0,10,4,239.287719814272
500,0,10,5,111.888777125936
500,0,10,6,67.6423810147572
500,0,10,7,50.6268046266312
500,0,10,8,42.9889520143381
500,0,10,9,40.1024981848816
500,0,10,10,39.3136079943756
500,0,10,11,39.6945409362888
500,0,10,12,40.7517735165454
500,0,10,13,42.1351031591736
500,0,10,14,43.8085685934282
500,0,10,15,45.6176828148105
500,0,10,16,47.4535192715241
500,0,11,4,253.947920019663
500,0,11,5,116.181995188319
500,0,11,6,69.6289994449824
500,0,11,7,50.8280982620004
500,0,11,8,43.1499322249497
500,0,11,9,40.0921818078565
500,0,11,10,39.4466822781519
500,0,11,11,39.7846939263057
500,0,11,12,40.7318785614719
500,0,11,13,42.1806920113163
500,0,11,14,43.9512123152637
500,0,11,15,45.705493428726
500,0,11,16,47.8548674593045
500,0,12,4,268.635279524654
500,0,12,5,121.211395813868
500,0,12,6,70.7822515613812
500,0,12,7,51.4681270928261
500,0,12,8,43.5188980850788
500,0,12,9,39.9460654145706
500,0,12,10,39.1753001556172
500,0,12,11,39.6006108458819
500,0,12,12,40.6775546529867
500,0,12,13,42.2302208243516
500,0,12,14,44.0564798451508
500,0,12,15,45.8899302631774
500,0,12,16,47.8755232708321
