"Freq [kHz]","Phase [deg]","W_winding [mm]","r_leg [mm]","Mag_B [mTesla]"
500,0,8,4,536.578109546601
500,0,8,5,349.040037381476
500,0,8,6,222.379295564227
500,0,8,7,165.088950614519
500,0,8,8,133.314676713597
500,0,8,9,100.798922437468
500,0,8,10,81.4948226438347
500,0,8,11,65.4035763441834
500,0,8,12,54.4161586772742
500,0,8,13,47.4614688536912
500,0,8,14,43.2227747569385
500,0,8,15,36.0971592694766
500,0,8,16,31.7396772910187
500,0,9,4,541.453086080638
500,0,9,5,329.305753313145
500,0,9,6,241.237316576444
500,0,9,7,179.669878850699
500,0,9,8,121.092677180298
500,0,9,9,110.117105538066
500,0,9,10,82.7876783740788
500,0,9,11,61.7612735322726
500,0,9,12,57.3697686787572
500,0,9,13,50.4561841153664
500,0,9,14,41.3672782208334
500,0,9,15,33.8145786918437
500,0,9,16,31.1990968068582
500,0,10,4,531.321851015552
500,0,10,5,334.04738813908
500,0,10,6,254.733535231601
500,0,10,7,178.981324709634
500,0,10,8,133.039641199343
500,0,10,9,97.6523437377856
500,0,10,10,86.5792827968058
500,0,10,11,66.4066057338408
500,0,10,12,53.3683999455661
500,0,10,13,48.4982469883709
500,0,10,14,41.5282365338068
500,0,10,15,35.0240335753025
500,0,10,16,29.8877869179849
500,0,11,4,533.255098662961
500,0,11,5,347.367757227699
500,0,11,6,230.426186116431
500,0,11,7,172.228945638515
500,0,11,8,130.168712187014
500,0,11,9,99.7133331063067
500,0,11,10,87.3310859568935
500,0,11,11,70.6155606287871
500,0,11,12,56.5377435008841
500,0,11,13,46.5285280485504
500,0,11,14,40.385553341248
500,0,11,15,35.1845848684616
500,0,11,16,31.234441242256
500,0,12,4,553.521603148933
500,0,12,5,342.860202292917
500,0,12,6,240.45189933052
500,0,12,7,172.013626366854
500,0,12,8,127.864084203451
500,0,12,9,101.973971214882
500,0,12,10,79.4792536925151
500,0,12,11,64.1282625164602
500,0,12,12,53.097088514954
500,0,12,13,47.6960624557247
500,0,12,14,44.1641479227144
500,0,12,15,31.5044860284269
500,0,12,16,31.2859675612284
