"Freq [kHz]","Phase [deg]","W_winding [mm]","r_leg [mm]","Mag_B [mTesla]"
500,0,8,4,299.212875578386
500,0,8,5,185.473673017715
500,0,8,6,141.452457442294
500,0,8,7,105.312502477574
500,0,8,8,73.18865588338
500,0,8,9,56.297217434612
500,0,8,10,45.4102216845203
500,0,8,11,41.4771819688119
500,0,8,12,37.1966626005164
500,0,8,13,28.4505361043368
500,0,8,14,23.6906719921323
500,0,8,15,20.6736490933666
500,0,8,16,17.6939498939512
500,0,9,4,310.661262996521
500,0,9,5,207.243669475585
500,0,9,6,143.998566349339
500,0,9,7,99.8300999852228
500,0,9,8,79.9456738493064
500,0,9,9,62.5128857062979
500,0,9,10,50.664329327545
500,0,9,11,41.0414964577091
500,0,9,12,31.7634289382049
500,0,9,13,28.1169638739712
500,0,9,14,24.3528173727132
500,0,9,15,20.1194716620259
500,0,9,16,18.9137772807457
500,0,10,4,310.819684529041
500,0,10,5,193.546296355012
500,0,10,6,130.532038191196
500,0,10,7,102.438346741654
500,0,10,8,78.5453491022436
500,0,10,9,61.1331082127246
500,0,10,10,45.4241753903017
500,0,10,11,40.4914442003753
500,0,10,12,33.7085749961104
500,0,10,13,25.9583729103522
500,0,10,14,23.4713201516003
500,0,10,15,19.859334332298
500,0,10,16,16.9793577723721
500,0,11,4,317.201387385379
500,0,11,5,201.711293773442
500,0,11,6,134.257559040571
500,0,11,7,107.498630975851
500,0,11,8,76.9105684311519
500,0,11,9,61.6349255606553
500,0,11,10,43.085361790779
500,0,11,11,42.3286050384722
500,0,11,12,34.3968590999507
500,0,11,13,28.4899458568929
500,0,11,14,23.3890646752549
500,0,11,15,18.612896730813
500,0,11,16,16.8977236475006
500,0,12,4,310.702144989051
500,0,12,5,185.719670933397
500,0,12,6,136.806143627384
500,0,12,7,102.75812429843
500,0,12,8,80.226346046488
500,0,12,9,58.8659952637857
500,0,12,10,45.9793420277143
500,0,12,11,35.8826451683038
500,0,12,12,33.4182758921458
500,0,12,13,30.348976400973
500,0,12,14,23.8937963639836
500,0,12,15,18.4671479654261
500,0,12,16,16.7565244088382
500,0,13,4,323.866485060343
500,0,13,5,204.376064794712
500,0,13,6,125.033327635703
500,0,13,7,97.1184137522857
500,0,13,8,75.8213561406417
500,0,13,9,60.3125072282705
500,0,13,10,50.0284652107868
500,0,13,11,37.1059599973533
500,0,13,12,34.9837858625273
500,0,13,13,27.5563340367575
500,0,13,14,22.2851385891915
500,0,13,15,20.2599959023423
500,0,13,16,20.2024486276147
500,0,14,4,336.654353654315
500,0,14,5,197.189196382317
500,0,14,6,136.10261824972
500,0,14,7,101.47004680245
500,0,14,8,77.9605393596782
500,0,14,9,57.5307835265168
500,0,14,10,53.2824642347568
500,0,14,11,37.9467758986139
500,0,14,12,33.5522201798286
500,0,14,13,27.6860707746713
500,0,14,14,23.2574507764582
500,0,14,15,20.5344681918473
500,0,14,16,18.0079041416399
500,0,15,4,308.692179796052
500,0,15,5,195.537983952502
500,0,15,6,144.810781524398
500,0,15,7,94.5537912128828
500,0,15,8,71.8974584986451
500,0,15,9,56.3231455176103
500,0,15,10,49.3669069193015
500,0,15,11,39.8350180923467
500,0,15,12,32.251974729325
500,0,15,13,27.725945280638
500,0,15,14,22.8432366793764
500,0,15,15,20.4215557446286
500,0,15,16,16.9962560783322
