r_leg,W_winding[mm],All_Core_Total_Loss
2,1,0.569637
2.16,1,0.460732
2.32,1,0.386964
2.48,1,0.334676
2.64,1,0.299544
2.8,1,0.271344
2.96,1,0.250858
3.12,1,0.235878
3.28,1,0.226149
3.44,1,0.218797
3.6,1,0.212479
2,1.5,0.621883
2.16,1.5,0.501268
2.32,1.5,0.415368
2.48,1.5,0.35917
2.64,1.5,0.318663
2.8,1.5,0.288592
2.96,1.5,0.26734
3.12,1.5,0.251173
3.28,1.5,0.240132
3.44,1.5,0.231416
3.6,1.5,0.223847
2,2,0.671735
2.16,2,0.538712
2.32,2,0.447677
2.48,2,0.383071
2.64,2,0.33815
2.8,2,0.305911
2.96,2,0.281793
3.12,2,0.263725
3.28,2,0.251238
3.44,2,0.241339
3.6,2,0.235336
2,2.5,0.725465
2.16,2.5,0.574634
2.32,2.5,0.473877
2.48,2.5,0.40569
2.64,2.5,0.355642
2.8,2.5,0.319724
2.96,2.5,0.293359
3.12,2.5,0.274633
3.28,2.5,0.260579
3.44,2.5,0.250143
3.6,2.5,0.242721
2,3,0.780943
2.16,3,0.613931
2.32,3,0.5007
2.48,3,0.425216
2.64,3,0.371463
2.8,3,0.331402
2.96,3,0.303576
3.12,3,0.282826
3.28,3,0.267992
3.44,3,0.258509
3.6,3,0.249634
2,3.5,0.825863
2.16,3.5,0.646071
2.32,3.5,0.530091
2.48,3.5,0.444217
2.64,3.5,0.385464
2.8,3.5,0.343104
2.96,3.5,0.312102
3.12,3.5,0.290561
3.28,3.5,0.274116
3.44,3.5,0.262914
3.6,3.5,0.254846
2,4,0.880248
2.16,4,0.688372
2.32,4,0.553421
2.48,4,0.461062
2.64,4,0.397742
2.8,4,0.353955
2.96,4,0.321682
3.12,4,0.297803
3.28,4,0.280653
3.44,4,0.266568
3.6,4,0.258449
2,4.5,0.932164
2.16,4.5,0.719825
2.32,4.5,0.574552
2.48,4.5,0.479704
2.64,4.5,0.41233
2.8,4.5,0.3647
2.96,4.5,0.328904
3.12,4.5,0.302592
3.28,4.5,0.284194
3.44,4.5,0.270398
3.6,4.5,0.261176
2,5,0.991697
2.16,5,0.756301
2.32,5,0.604002
2.48,5,0.49445
2.64,5,0.424605
2.8,5,0.371711
2.96,5,0.330733
3.12,5,0.308093
3.28,5,0.285211
3.44,5,0.27387
3.6,5,0.26232
2,5.5,1.04068
2.16,5.5,0.796422
2.32,5.5,0.629615
2.48,5.5,0.516954
2.64,5.5,0.436182
2.8,5.5,0.378467
2.96,5.5,0.341224
3.12,5.5,0.311844
3.28,5.5,0.291273
3.44,5.5,0.27562
3.6,5.5,0.271132
2,6,1.10337
2.16,6,0.837724
2.32,6,0.655792
2.48,6,0.53318
2.64,6,0.448246
2.8,6,0.387498
2.96,6,0.345422
3.12,6,0.315259
3.28,6,0.291329
3.44,6,0.273486
3.6,6,0.263648
