r_leg,W_winding[mm],All_Core_Total_Loss
2,1,0.484839
2.16,1,0.409289
2.32,1,0.35622
2.48,1,0.320345
2.64,1,0.296988
2.8,1,0.278934
2.96,1,0.2662
3.12,1,0.25769
3.28,1,0.251832
3.44,1,0.249887
3.6,1,0.2483
2,1.5,0.526937
2.16,1.5,0.441115
2.32,1.5,0.382036
2.48,1.5,0.342505
2.64,1.5,0.315186
2.8,1.5,0.29633
2.96,1.5,0.282975
3.12,1.5,0.273628
3.28,1.5,0.26728
3.44,1.5,0.263844
3.6,1.5,0.262619
2,2,0.565215
2.16,2,0.470672
2.32,2,0.406035
2.48,2,0.362232
2.64,2,0.331243
2.8,2,0.310519
2.96,2,0.295917
3.12,2,0.284805
3.28,2,0.278733
3.44,2,0.274237
3.6,2,0.27329
2,2.5,0.603971
2.16,2.5,0.49609
2.32,2.5,0.425932
2.48,2.5,0.379652
2.64,2.5,0.345043
2.8,2.5,0.32155
2.96,2.5,0.305747
3.12,2.5,0.294591
3.28,2.5,0.288446
3.44,2.5,0.282803
3.6,2.5,0.280761
2,3,0.641959
2.16,3,0.522852
2.32,3,0.445611
2.48,3,0.393519
2.64,3,0.358202
2.8,3,0.330389
2.96,3,0.31419
3.12,3,0.301345
3.28,3,0.294601
3.44,3,0.29
3.6,3,0.287644
2,3.5,0.674301
2.16,3.5,0.545322
2.32,3.5,0.462334
2.48,3.5,0.406967
2.64,3.5,0.365088
2.8,3.5,0.33872
2.96,3.5,0.319689
3.12,3.5,0.307222
3.28,3.5,0.298673
3.44,3.5,0.294309
3.6,3.5,0.29075
2,4,0.709231
2.16,4,0.571456
2.32,4,0.480247
2.48,4,0.416185
2.64,4,0.373414
2.8,4,0.344638
2.96,4,0.323399
3.12,4,0.31194
3.28,4,0.300784
3.44,4,0.295957
3.6,4,0.293031
2,4.5,0.74353
2.16,4.5,0.592775
2.32,4.5,0.492511
2.48,4.5,0.42761
2.64,4.5,0.378912
2.8,4.5,0.348554
2.96,4.5,0.327961
3.12,4.5,0.313881
3.28,4.5,0.302535
3.44,4.5,0.296697
3.6,4.5,0.294301
2,5,0.782617
2.16,5,0.618312
2.32,5,0.511111
2.48,5,0.436342
2.64,5,0.385697
2.8,5,0.353521
2.96,5,0.327444
3.12,5,0.31698
3.28,5,0.303578
3.44,5,0.297193
3.6,5,0.295601
2,5.5,0.820131
2.16,5.5,0.642715
2.32,5.5,0.524026
2.48,5.5,0.447325
2.64,5.5,0.392833
2.8,5.5,0.355391
2.96,5.5,0.331064
3.12,5.5,0.312814
3.28,5.5,0.298832
3.44,5.5,0.295191
3.6,5.5,0.298305
2,6,0.858682
2.16,6,0.66791
2.32,6,0.543063
2.48,6,0.457689
2.64,6,0.398625
2.8,6,0.358496
2.96,6,0.330394
3.12,6,0.314595
3.28,6,0.297116
3.44,6,0.293362
3.6,6,0.289792
