r_leg,W_winding[mm],All_Core_Total_Loss
1.4,1,0.628807
1.51,1,0.486578
1.62,1,0.389002
1.73,1,0.318619
1.84,1,0.26567
1.95,1,0.227939
2.06,1,0.198655
2.17,1,0.176284
2.28,1,0.159271
2.39,1,0.146071
2.5,1,0.135587
1.4,1.5,0.710447
1.51,1.5,0.544865
1.62,1.5,0.432545
1.73,1.5,0.351173
1.84,1.5,0.292875
1.95,1.5,0.249891
2.06,1.5,0.218146
2.17,1.5,0.19296
2.28,1.5,0.173787
2.39,1.5,0.159369
2.5,1.5,0.147389
1.4,2,0.791219
1.51,2,0.608861
1.62,2,0.476254
1.73,2,0.385696
1.84,2,0.320968
1.95,2,0.273079
2.06,2,0.236777
2.17,2,0.209169
2.28,2,0.187995
2.39,2,0.171403
2.5,2,0.158182
1.4,2.5,0.88094
1.51,2.5,0.665398
1.62,2.5,0.522512
1.73,2.5,0.419371
1.84,2.5,0.348487
1.95,2.5,0.294742
2.06,2.5,0.254355
2.17,2.5,0.224096
2.28,2.5,0.200896
2.39,2.5,0.182469
2.5,2.5,0.168546
1.4,3,0.966654
1.51,3,0.724699
1.62,3,0.567562
1.73,3,0.456892
1.84,3,0.37435
1.95,3,0.315078
2.06,3,0.271848
2.17,3,0.238921
2.28,3,0.212983
2.39,3,0.193019
2.5,3,0.17763
1.4,3.5,1.04323
1.51,3.5,0.785006
1.62,3.5,0.612529
1.73,3.5,0.488678
1.84,3.5,0.400173
1.95,3.5,0.335391
2.06,3.5,0.287995
2.17,3.5,0.251849
2.28,3.5,0.224392
2.39,3.5,0.202546
2.5,3.5,0.18607
1.4,4,1.13352
1.51,4,0.847082
1.62,4,0.655206
1.73,4,0.522193
1.84,4,0.425609
1.95,4,0.354897
2.06,4,0.303672
2.17,4,0.264566
2.28,4,0.234856
2.39,4,0.211713
2.5,4,0.194389
1.4,4.5,1.22759
1.51,4.5,0.917486
1.62,4.5,0.703234
1.73,4.5,0.556047
1.84,4.5,0.449373
1.95,4.5,0.37635
2.06,4.5,0.319933
2.17,4.5,0.275698
2.28,4.5,0.244498
2.39,4.5,0.221537
2.5,4.5,0.201709
1.4,5,1.32152
1.51,5,0.977866
1.62,5,0.750857
1.73,5,0.591241
1.84,5,0.478507
1.95,5,0.394112
2.06,5,0.333877
2.17,5,0.289392
2.28,5,0.254325
2.39,5,0.227132
2.5,5,0.208166
1.4,5.5,1.42081
1.51,5.5,1.04496
1.62,5.5,0.800199
1.73,5.5,0.626456
1.84,5.5,0.504307
1.95,5.5,0.413784
2.06,5.5,0.349761
2.17,5.5,0.301715
2.28,5.5,0.262955
2.39,5.5,0.234089
2.5,5.5,0.213788
1.4,6,1.51387
1.51,6,1.12202
1.62,6,0.846187
1.73,6,0.65997
1.84,6,0.530687
1.95,6,0.436838
2.06,6,0.365088
2.17,6,0.310967
2.28,6,0.272661
2.39,6,0.243014
2.5,6,0.218239
