r_leg,W_winding[mm],All_Core_Total_Loss
1.6,1,0.734764
1.73,1,0.568204
1.86,1,0.452889
1.99,1,0.371857
2.12,1,0.312208
2.25,1,0.269274
2.38,1,0.238049
2.51,1,0.21373
2.64,1,0.195265
2.77,1,0.180639
2.9,1,0.169123
1.6,1.5,0.816862
1.73,1.5,0.629271
1.86,1.5,0.499029
1.99,1.5,0.409238
2.12,1.5,0.34106
2.25,1.5,0.294804
2.38,1.5,0.258722
2.51,1.5,0.230724
2.64,1.5,0.210075
2.77,1.5,0.194577
2.9,1.5,0.18195
1.6,2,0.907329
1.73,2,0.691256
1.86,2,0.546752
1.99,2,0.443764
2.12,2,0.371939
2.25,2,0.316386
2.38,2,0.277643
2.51,2,0.24865
2.64,2,0.225499
2.77,2,0.207222
2.9,2,0.193449
1.6,2.5,0.994041
1.73,2.5,0.755536
1.86,2.5,0.592053
1.99,2.5,0.47847
2.12,2.5,0.398557
2.25,2.5,0.340093
2.38,2.5,0.296314
2.51,2.5,0.263199
2.64,2.5,0.238338
2.77,2.5,0.218425
2.9,2.5,0.20342
1.6,3,1.08116
1.73,3,0.82148
1.86,3,0.640869
1.99,3,0.514423
2.12,3,0.425011
2.25,3,0.360823
2.38,3,0.313274
2.51,3,0.277021
2.64,3,0.250167
2.77,3,0.230023
2.9,3,0.213297
1.6,3.5,1.18043
1.73,3.5,0.882706
1.86,3.5,0.684407
1.99,3.5,0.549428
2.12,3.5,0.452435
2.25,3.5,0.383109
2.38,3.5,0.330238
2.51,3.5,0.291177
2.64,3.5,0.26214
2.77,3.5,0.238704
2.9,3.5,0.222036
1.6,4,1.27832
1.73,4,0.952673
1.86,4,0.737275
1.99,4,0.585233
2.12,4,0.478595
2.25,4,0.40213
2.38,4,0.346639
2.51,4,0.304551
2.64,4,0.272725
2.77,4,0.247647
2.9,4,0.228948
1.6,4.5,1.36908
1.73,4.5,1.02528
1.86,4.5,0.783297
1.99,4.5,0.621136
2.12,4.5,0.504146
2.25,4.5,0.422594
2.38,4.5,0.361887
2.51,4.5,0.314497
2.64,4.5,0.28287
2.77,4.5,0.255826
2.9,4.5,0.236329
1.6,5,1.467
1.73,5,1.08955
1.86,5,0.831802
1.99,5,0.65355
2.12,5,0.529924
2.25,5,0.440265
2.38,5,0.374365
2.51,5,0.327164
2.64,5,0.290119
2.77,5,0.264012
2.9,5,0.24147
1.6,5.5,1.57869
1.73,5.5,1.15383
1.86,5.5,0.875661
1.99,5.5,0.689496
2.12,5.5,0.557761
2.25,5.5,0.461241
2.38,5.5,0.390255
2.51,5.5,0.338141
2.64,5.5,0.300953
2.77,5.5,0.27007
2.9,5.5,0.246908
1.6,6,1.67679
1.73,6,1.2286
1.86,6,0.929838
1.99,6,0.724485
2.12,6,0.581974
2.25,6,0.479815
2.38,6,0.404937
2.51,6,0.349421
2.64,6,0.307659
2.77,6,0.276963
2.9,6,0.251634
