r_leg,W_winding[mm],All_Core_Total_Loss
1.6,1,0.412642
1.73,1,0.338889
1.86,1,0.288059
1.99,1,0.252103
2.12,1,0.227126
2.25,1,0.209414
2.38,1,0.195844
2.51,1,0.186568
2.64,1,0.180474
2.77,1,0.175884
2.9,1,0.172014
1.6,1.5,0.455507
1.73,1.5,0.371975
1.86,1.5,0.314008
1.99,1.5,0.273986
2.12,1.5,0.246896
2.25,1.5,0.226663
2.38,1.5,0.212042
2.51,1.5,0.20131
2.64,1.5,0.194512
2.77,1.5,0.188807
2.9,1.5,0.185027
1.6,2,0.496103
1.73,2,0.402534
1.86,2,0.338895
1.99,2,0.293577
2.12,2,0.264144
2.25,2,0.241234
2.38,2,0.22539
2.51,2,0.21401
2.64,2,0.205647
2.77,2,0.199581
2.9,2,0.195459
1.6,2.5,0.539125
1.73,2.5,0.433301
1.86,2.5,0.361249
1.99,2.5,0.31226
2.12,2.5,0.279345
2.25,2.5,0.254184
2.38,2.5,0.236995
2.51,2.5,0.224263
2.64,2.5,0.215
2.77,2.5,0.209026
2.9,2.5,0.204491
1.6,3,0.578982
1.73,3,0.463458
1.86,3,0.382443
1.99,3,0.32725
2.12,3,0.292006
2.25,3,0.265385
2.38,3,0.246025
2.51,3,0.232606
2.64,3,0.223048
2.77,3,0.21633
2.9,3,0.212196
1.6,3.5,0.619768
1.73,3.5,0.489341
1.86,3.5,0.401541
1.99,3.5,0.342954
2.12,3.5,0.302938
2.25,3.5,0.274773
2.38,3.5,0.253434
2.51,3.5,0.239445
2.64,3.5,0.228564
2.77,3.5,0.221512
2.9,3.5,0.216009
1.6,4,0.660313
1.73,4,0.515954
1.86,4,0.421362
1.99,4,0.358297
2.12,4,0.313419
2.25,4,0.282061
2.38,4,0.260059
2.51,4,0.244938
2.64,4,0.234117
2.77,4,0.223615
2.9,4,0.219989
1.6,4.5,0.697497
1.73,4.5,0.544902
1.86,4.5,0.440277
1.99,4.5,0.370398
2.12,4.5,0.324758
2.25,4.5,0.288308
2.38,4.5,0.265041
2.51,4.5,0.246568
2.64,4.5,0.238156
2.77,4.5,0.229707
2.9,4.5,0.224178
1.6,5,0.7414
1.73,5,0.571949
1.86,5,0.4609
1.99,5,0.384783
2.12,5,0.330928
2.25,5,0.297036
2.38,5,0.268857
2.51,5,0.249094
2.64,5,0.239597
2.77,5,0.231273
2.9,5,0.223879
1.6,5.5,0.789523
1.73,5.5,0.598991
1.86,5.5,0.479044
1.99,5.5,0.397566
2.12,5.5,0.341372
2.25,5.5,0.302881
2.38,5.5,0.273023
2.51,5.5,0.253684
2.64,5.5,0.240272
2.77,5.5,0.229807
2.9,5.5,0.224822
1.6,6,0.829999
1.73,6,0.631115
1.86,6,0.500335
1.99,6,0.409436
2.12,6,0.350968
2.25,6,0.306499
2.38,6,0.276549
2.51,6,0.252813
2.64,6,0.242661
2.77,6,0.231893
2.9,6,0.226294
