r_leg,W_winding[mm],All_Core_Total_Loss
2,1,0.919257
2.16,1,0.726705
2.32,1,0.586256
2.48,1,0.489879
2.64,1,0.423567
2.8,1,0.371855
2.96,1,0.332636
3.12,1,0.303206
3.28,1,0.281212
3.44,1,0.264473
3.6,1,0.250938
2,1.5,1.01423
2.16,1.5,0.791749
2.32,1.5,0.633909
2.48,1.5,0.530147
2.64,1.5,0.454921
2.8,1.5,0.396934
2.96,1.5,0.354747
3.12,1.5,0.32332
3.28,1.5,0.298832
3.44,1.5,0.279822
3.6,1.5,0.265626
2,2,1.10515
2.16,2,0.857357
2.32,2,0.689342
2.48,2,0.570278
2.64,2,0.483844
2.8,2,0.423509
2.96,2,0.376382
3.12,2,0.341262
3.28,2,0.314668
3.44,2,0.293968
3.6,2,0.278842
2,2.5,1.19887
2.16,2.5,0.922481
2.32,2.5,0.739199
2.48,2.5,0.60973
2.64,2.5,0.514286
2.8,2.5,0.44658
2.96,2.5,0.396538
3.12,2.5,0.357673
3.28,2.5,0.328962
3.44,2.5,0.306798
3.6,2.5,0.290132
2,3,1.30331
2.16,3,0.994129
2.32,3,0.786929
2.48,3,0.646165
2.64,3,0.544986
2.8,3,0.468376
2.96,3,0.414261
3.12,3,0.373889
3.28,3,0.341754
3.44,3,0.318566
3.6,3,0.299923
2,3.5,1.38975
2.16,3.5,1.06081
2.32,3.5,0.839469
2.48,3.5,0.679449
2.64,3.5,0.569357
2.8,3.5,0.48949
2.96,3.5,0.430171
3.12,3.5,0.38691
3.28,3.5,0.353368
3.44,3.5,0.327011
3.6,3.5,0.307881
2,4,1.48716
2.16,4,1.13458
2.32,4,0.882921
2.48,4,0.71923
2.64,4,0.598665
2.8,4,0.51104
2.96,4,0.447599
3.12,4,0.400304
3.28,4,0.363221
3.44,4,0.336205
3.6,4,0.31616
2,4.5,1.58791
2.16,4.5,1.20026
2.32,4.5,0.934257
2.48,4.5,0.750453
2.64,4.5,0.623731
2.8,4.5,0.532416
2.96,4.5,0.461134
3.12,4.5,0.411631
3.28,4.5,0.372593
3.44,4.5,0.345402
3.6,4.5,0.322331
2,5,1.69034
2.16,5,1.27318
2.32,5,0.985723
2.48,5,0.785798
2.64,5,0.650273
2.8,5,0.550805
2.96,5,0.47892
3.12,5,0.423298
3.28,5,0.382458
3.44,5,0.351174
3.6,5,0.326706
2,5.5,1.79574
2.16,5.5,1.34554
2.32,5.5,1.03971
2.48,5.5,0.826689
2.64,5.5,0.675272
2.8,5.5,0.569546
2.96,5.5,0.49199
3.12,5.5,0.432352
3.28,5.5,0.392073
3.44,5.5,0.356964
3.6,5.5,0.34609
2,6,1.91263
2.16,6,1.4147
2.32,6,1.08816
2.48,6,0.863126
2.64,6,0.702387
2.8,6,0.588623
2.96,6,0.507918
3.12,6,0.443625
3.28,6,0.395856
3.44,6,0.36317
3.6,6,0.336645
