r_leg,W_winding[mm],All_Core_Total_Loss
1.4,1,0.354299
1.51,1,0.288549
1.62,1,0.242433
1.73,1,0.210856
1.84,1,0.187781
1.95,1,0.170862
2.06,1,0.158129
2.17,1,0.148386
2.28,1,0.141787
2.39,1,0.136866
2.5,1,0.133045
1.4,1.5,0.394928
1.51,1.5,0.320016
1.62,1.5,0.268522
1.73,1.5,0.231695
1.84,1.5,0.205823
1.95,1.5,0.186956
2.06,1.5,0.172339
2.17,1.5,0.162223
2.28,1.5,0.154178
2.39,1.5,0.148813
2.5,1.5,0.144092
1.4,2,0.435775
1.51,2,0.35142
1.62,2,0.291318
1.73,2,0.251882
1.84,2,0.222065
1.95,2,0.201437
2.06,2,0.185674
2.17,2,0.174225
2.28,2,0.165271
2.39,2,0.159564
2.5,2,0.15436
1.4,2.5,0.477707
1.51,2.5,0.380161
1.62,2.5,0.315356
1.73,2.5,0.269188
1.84,2.5,0.237357
1.95,2.5,0.214522
2.06,2.5,0.196219
2.17,2.5,0.184454
2.28,2.5,0.174835
2.39,2.5,0.167672
2.5,2.5,0.163142
1.4,3,0.516357
1.51,3,0.408436
1.62,3,0.336648
1.73,3,0.285917
1.84,3,0.250893
1.95,3,0.224362
2.06,3,0.205644
2.17,3,0.19257
2.28,3,0.182638
2.39,3,0.174801
2.5,3,0.169691
1.4,3.5,0.55222
1.51,3.5,0.434119
1.62,3.5,0.355109
1.73,3.5,0.30217
1.84,3.5,0.263346
1.95,3.5,0.234474
2.06,3.5,0.215361
2.17,3.5,0.199564
2.28,3.5,0.189299
2.39,3.5,0.181183
2.5,3.5,0.175207
1.4,4,0.5953
1.51,4,0.462562
1.62,4,0.374251
1.73,4,0.31448
1.84,4,0.273764
1.95,4,0.243848
2.06,4,0.222063
2.17,4,0.20711
2.28,4,0.193204
2.39,4,0.185146
2.5,4,0.180371
1.4,4.5,0.633115
1.51,4.5,0.492663
1.62,4.5,0.395864
1.73,4.5,0.330529
1.84,4.5,0.282822
1.95,4.5,0.251403
2.06,4.5,0.226997
2.17,4.5,0.210433
2.28,4.5,0.198091
2.39,4.5,0.188811
2.5,4.5,0.181342
1.4,5,0.676831
1.51,5,0.515904
1.62,5,0.416411
1.73,5,0.344961
1.84,5,0.293126
1.95,5,0.259995
2.06,5,0.232316
2.17,5,0.214252
2.28,5,0.2015
2.39,5,0.19195
2.5,5,0.184936
1.4,5.5,0.720528
1.51,5.5,0.547676
1.62,5.5,0.437254
1.73,5.5,0.356592
1.84,5.5,0.304026
1.95,5.5,0.266713
2.06,5.5,0.235995
2.17,5.5,0.217583
2.28,5.5,0.201487
2.39,5.5,0.193786
2.5,5.5,0.185861
1.4,6,0.76022
1.51,6,0.579046
1.62,6,0.453226
1.73,6,0.372993
1.84,6,0.313069
1.95,6,0.272499
2.06,6,0.24327
2.17,6,0.221685
2.28,6,0.206271
2.39,6,0.196589
2.5,6,0.185512
