r_leg,W_winding[mm],All_Core_Total_Loss
1.2,1,0.357764
1.3,1,0.279944
1.4,1,0.228653
1.5,1,0.193071
1.6,1,0.166786
1.7,1,0.14847
1.8,1,0.135029
1.9,1,0.124867
2,1,0.117344
2.1,1,0.110951
2.2,1,0.107084
1.2,1.5,0.402597
1.3,1.5,0.315342
1.4,1.5,0.254384
1.5,1.5,0.214112
1.6,1.5,0.185286
1.7,1.5,0.163789
1.8,1.5,0.148165
1.9,1.5,0.136872
2,1.5,0.128602
2.1,1.5,0.122048
2.2,1.5,0.116571
1.2,2,0.44955
1.3,2,0.348676
1.4,2,0.281325
1.5,2,0.235443
1.6,2,0.201723
1.7,2,0.178349
1.8,2,0.161398
1.9,2,0.148756
2,2,0.138683
2.1,2,0.131594
2.2,2,0.126393
1.2,2.5,0.499438
1.3,2.5,0.38346
1.4,2.5,0.307822
1.5,2.5,0.254498
1.6,2.5,0.218104
1.7,2.5,0.191837
1.8,2.5,0.172519
1.9,2.5,0.158079
2,2.5,0.147794
2.1,2.5,0.140277
2.2,2.5,0.134325
1.2,3,0.544265
1.3,3,0.413295
1.4,3,0.330037
1.5,3,0.27268
1.6,3,0.232457
1.7,3,0.203622
1.8,3,0.182147
1.9,3,0.167161
2,3,0.155405
2.1,3,0.146173
2.2,3,0.140209
1.2,3.5,0.592823
1.3,3.5,0.447447
1.4,3.5,0.352239
1.5,3.5,0.288942
1.6,3.5,0.245154
1.7,3.5,0.214
1.8,3.5,0.190294
1.9,3.5,0.174965
2,3.5,0.1613
2.1,3.5,0.153288
2.2,3.5,0.14599
1.2,4,0.64419
1.3,4,0.480426
1.4,4,0.375115
1.5,4,0.304705
1.6,4,0.257644
1.7,4,0.222628
1.8,4,0.198579
1.9,4,0.179803
2,4,0.166775
2.1,4,0.156971
2.2,4,0.151194
1.2,4.5,0.694116
1.3,4.5,0.511124
1.4,4.5,0.399147
1.5,4.5,0.322429
1.6,4.5,0.270448
1.7,4.5,0.232263
1.8,4.5,0.205293
1.9,4.5,0.186918
2,4.5,0.171266
2.1,4.5,0.16177
2.2,4.5,0.154263
1.2,5,0.738843
1.3,5,0.549092
1.4,5,0.423404
1.5,5,0.338051
1.6,5,0.281447
1.7,5,0.240071
1.8,5,0.212615
1.9,5,0.192463
2,5,0.173983
2.1,5,0.16397
2.2,5,0.155811
1.2,5.5,0.790062
1.3,5.5,0.580418
1.4,5.5,0.448318
1.5,5.5,0.355428
1.6,5.5,0.293688
1.7,5.5,0.24769
1.8,5.5,0.218612
1.9,5.5,0.19562
2,5.5,0.18078
2.1,5.5,0.168801
2.2,5.5,0.157369
1.2,6,0.840066
1.3,6,0.614378
1.4,6,0.473282
1.5,6,0.373194
1.6,6,0.304489
1.7,6,0.257796
1.8,6,0.224396
1.9,6,0.19943
2,6,0.182191
2.1,6,0.16837
2.2,6,0.161507
