r_leg,W_winding[mm],All_Core_Total_Loss
1.4,1,0.433679
1.51,1,0.341926
1.62,1,0.278806
1.73,1,0.234619
1.84,1,0.201774
1.95,1,0.177738
2.06,1,0.159486
2.17,1,0.145925
2.28,1,0.134842
2.39,1,0.127099
2.5,1,0.120936
1.4,1.5,0.486028
1.51,1.5,0.380752
1.62,1.5,0.311121
1.73,1.5,0.258057
1.84,1.5,0.222207
1.95,1.5,0.194837
2.06,1.5,0.174
2.17,1.5,0.159287
2.28,1.5,0.147787
2.39,1.5,0.138617
2.5,1.5,0.13133
1.4,2,0.537674
1.51,2,0.422501
1.62,2,0.339809
1.73,2,0.282373
1.84,2,0.241479
1.95,2,0.211332
2.06,2,0.188387
2.17,2,0.171756
2.28,2,0.158233
2.39,2,0.148787
2.5,2,0.140917
1.4,2.5,0.596242
1.51,2.5,0.461669
1.62,2.5,0.368842
1.73,2.5,0.304441
1.84,2.5,0.259228
1.95,2.5,0.22681
2.06,2.5,0.200973
2.17,2.5,0.182729
2.28,2.5,0.16847
2.39,2.5,0.157253
2.5,2.5,0.14949
1.4,3,0.652727
1.51,3,0.498764
1.62,3,0.398761
1.73,3,0.327823
1.84,3,0.277542
1.95,3,0.240286
2.06,3,0.213108
2.17,3,0.192417
2.28,3,0.177091
2.39,3,0.165357
2.5,3,0.155972
1.4,3.5,0.699763
1.51,3.5,0.53647
1.62,3.5,0.426736
1.73,3.5,0.349814
1.84,3.5,0.293956
1.95,3.5,0.254418
2.06,3.5,0.222144
2.17,3.5,0.202209
2.28,3.5,0.184328
2.39,3.5,0.172745
2.5,3.5,0.162163
1.4,4,0.7575
1.51,4,0.578474
1.62,4,0.455085
1.73,4,0.371271
1.84,4,0.311368
1.95,4,0.266595
2.06,4,0.23391
2.17,4,0.211311
2.28,4,0.191382
2.39,4,0.179086
2.5,4,0.167132
1.4,4.5,0.815568
1.51,4.5,0.618109
1.62,4.5,0.483514
1.73,4.5,0.390851
1.84,4.5,0.324871
1.95,4.5,0.277224
2.06,4.5,0.242876
2.17,4.5,0.217185
2.28,4.5,0.196032
2.39,4.5,0.184377
2.5,4.5,0.171725
1.4,5,0.874738
1.51,5,0.654948
1.62,5,0.513265
1.73,5,0.411738
1.84,5,0.340582
1.95,5,0.290027
2.06,5,0.252542
2.17,5,0.224382
2.28,5,0.203895
2.39,5,0.187629
2.5,5,0.175476
1.4,5.5,0.940174
1.51,5.5,0.695797
1.62,5.5,0.54369
1.73,5.5,0.433548
1.84,5.5,0.357548
1.95,5.5,0.30062
2.06,5.5,0.261001
2.17,5.5,0.230364
2.28,5.5,0.208466
2.39,5.5,0.190179
2.5,5.5,0.179204
1.4,6,0.995082
1.51,6,0.745081
1.62,6,0.571706
1.73,6,0.45383
1.84,6,0.3715
1.95,6,0.313543
2.06,6,0.269696
2.17,6,0.236979
2.28,6,0.213728
2.39,6,0.195489
2.5,6,0.180948
