r_leg,W_winding[mm],All_Core_Total_Loss
3,1,1.10814
3.25,1,0.886528
3.5,1,0.73018
3.75,1,0.62496
4,1,0.54606
4.25,1,0.491564
4.5,1,0.451463
4.75,1,0.419565
5,1,0.396953
5.25,1,0.380548
5.5,1,0.367735
3,1.5,1.1858
3.25,1.5,0.942149
3.5,1.5,0.77119
3.75,1.5,0.653975
4,1.5,0.571592
4.25,1.5,0.513253
4.5,1.5,0.469389
4.75,1.5,0.436989
5,1.5,0.412121
5.25,1.5,0.393431
5.5,1.5,0.381287
3,2,1.26541
3.25,2,0.996135
3.5,2,0.812561
3.75,2,0.685768
4,2,0.596331
4.25,2,0.530175
4.5,2,0.485454
4.75,2,0.448257
5,2,0.424352
5.25,2,0.404946
5.5,2,0.390909
3,2.5,1.34078
3.25,2.5,1.04566
3.5,2.5,0.853094
3.75,2.5,0.715023
4,2.5,0.614619954
4.25,2.5,0.547006
4.5,2.5,0.497542
4.75,2.5,0.460934
5,2.5,0.432666
5.25,2.5,0.41301
5.5,2.5,0.398416
3,3,1.41387
3.25,3,1.10185
3.5,3,0.889799
3.75,3,0.740357
4,3,0.636933
4.25,3,0.56284
4.5,3,0.508785
4.75,3,0.469906
5,3,0.440229
5.25,3,0.418189
5.5,3,0.402927
3,3.5,1.50255
3.25,3.5,1.1545
3.5,3.5,0.922364
3.75,3.5,0.765475
4,3.5,0.656866
4.25,3.5,0.577532
4.5,3.5,0.518815
4.75,3.5,0.478165
5,3.5,0.446394
5.25,3.5,0.423855
5.5,3.5,0.407282
3,4,1.56961
3.25,4,1.20573
3.5,4,0.960265
3.75,4,0.793264
4,4,0.674024
4.25,4,0.590224
4.5,4,0.529302
4.75,4,0.483482
5,4,0.448176
5.25,4,0.4257
5.5,4,0.409223
3,4.5,1.64566
3.25,4.5,1.25714
3.5,4.5,0.994836
3.75,4.5,0.813965
4,4.5,0.689213
4.25,4.5,0.599777
4.5,4.5,0.534186
4.75,4.5,0.487038
5,4.5,0.455263
5.25,4.5,0.428
5.5,4.5,0.409552
3,5,1.74089
3.25,5,1.31153
3.5,5,1.03204
3.75,5,0.840436
4,5,0.709575
4.25,5,0.607124
4.5,5,0.546429
4.75,5,0.49597
5,5,0.457743
5.25,5,0.432506
5.5,5,0.4115
3,5.5,1.81786
3.25,5.5,1.3685
3.5,5.5,1.07015
3.75,5.5,0.863008
4,5.5,0.723928
4.25,5.5,0.62271
4.5,5.5,0.550259
4.75,5.5,0.493899
5,5.5,0.458164
5.25,5.5,0.430217
5.5,5.5,0.411692
3,6,1.90367
3.25,6,1.42498
3.5,6,1.10603
3.75,6,0.889023
4,6,0.742316
4.25,6,0.629572
4.5,6,0.556644
4.75,6,0.500441
5,6,0.45772
5.25,6,0.423548
5.5,6,0.406332
