r_leg,W_winding[mm],All_Core_Total_Loss
3,1,0.645036
3.25,1,0.558517
3.5,1,0.50365
3.75,1,0.46388
4,1,0.438447
4.25,1,0.424334
4.5,1,0.415732
4.75,1,0.41203
5,1,0.413391
5.25,1,0.414961
5.5,1,0.418764
3,1.5,0.680963
3.25,1.5,0.583824
3.5,1.5,0.52338
3.75,1.5,0.482522
4,1.5,0.455333
4.25,1.5,0.436522
4.5,1.5,0.42596
4.75,1.5,0.424449
5,1.5,0.425975
5.25,1.5,0.42631
5.5,1.5,0.431458
3,2,0.714516
3.25,2,0.607095
3.5,2,0.536836
3.75,2,0.492867
4,2,0.466176
4.25,2,0.448062
4.5,2,0.437054
4.75,2,0.430825
5,2,0.43136
5.25,2,0.432819
5.5,2,0.43755
3,2.5,0.739354
3.25,2.5,0.6259
3.5,2.5,0.551869
3.75,2.5,0.504382
4,2.5,0.472459
4.25,2.5,0.453763
4.5,2.5,0.442632229
4.75,2.5,0.435825
5,2.5,0.436481
5.25,2.5,0.438874
5.5,2.5,0.44058
3,3,0.765737
3.25,3,0.643094
3.5,3,0.565173
3.75,3,0.511808
4,3,0.47576
4.25,3,0.457133
4.5,3,0.443138
4.75,3,0.436025
5,3,0.436593
5.25,3,0.439672
5.5,3,0.445282
3,3.5,0.786549
3.25,3.5,0.654332
3.5,3.5,0.568081
3.75,3.5,0.51626
4,3.5,0.482426
4.25,3.5,0.457867
4.5,3.5,0.440537
4.75,3.5,0.43422
5,3.5,0.434179
5.25,3.5,0.434214
5.5,3.5,0.439859
3,4,0.814349
3.25,4,0.670336
3.5,4,0.580353
3.75,4,0.514879
4,4,0.483376
4.25,4,0.455287
4.5,4,0.438043
4.75,4,0.435523
5,4,0.432067
5.25,4,0.435355
5.5,4,0.438775
3,4.5,0.840935
3.25,4.5,0.686785
3.5,4.5,0.584031
3.75,4.5,0.522997
4,4.5,0.479415
4.25,4.5,0.455865
4.5,4.5,0.438838
4.75,4.5,0.427637
5,4.5,0.427144
5.25,4.5,0.429792
5.5,4.5,0.43309
3,5,0.869999
3.25,5,0.69708
3.5,5,0.593578
3.75,5,0.52033
4,5,0.475036
4.25,5,0.451126
4.5,5,0.434426
4.75,5,0.423673
5,5,0.417726
5.25,5,0.41977
5.5,5,0.42418
3,5.5,0.895776
3.25,5.5,0.715216
3.5,5.5,0.599014
3.75,5.5,0.520286
4,5.5,0.474014
4.25,5.5,0.442615
4.5,5.5,0.429667
4.75,5.5,0.417581
5,5.5,0.4105
5.25,5.5,0.415095
5.5,5.5,0.413293
3,6,0.923896
3.25,6,0.731322
3.5,6,0.608731
3.75,6,0.528327
4,6,0.474922
4.25,6,0.437975
4.5,6,0.420278
4.75,6,0.407948
5,6,0.403964
5.25,6,0.406284
5.5,6,0.407494
