r_leg,W_winding[mm],All_Core_Total_Loss
1.2,1,0.675369
1.3,1,0.503397
1.4,1,0.390628
1.5,1,0.312086
1.6,1,0.255832
1.7,1,0.213946
1.8,1,0.182685
1.9,1,0.159636
2,1,0.14179
2.1,1,0.127676
2.2,1,0.116632
1.2,1.5,0.761414
1.3,1.5,0.568986
1.4,1.5,0.438456
1.5,1.5,0.347246
1.6,1.5,0.283831
1.7,1.5,0.237316
1.8,1.5,0.202687
1.9,1.5,0.175799
2,1.5,0.155759
2.1,1.5,0.140004
2.2,1.5,0.127823
1.2,2,0.859682
1.3,2,0.636398
1.4,2,0.489841
1.5,2,0.387727
1.6,2,0.314774
1.7,2,0.261308
1.8,2,0.221496
1.9,2,0.192218
2,2,0.169773
2.1,2,0.152171
2.2,2,0.138533
1.2,2.5,0.962094
1.3,2.5,0.711417
1.4,2.5,0.542458
1.5,2.5,0.425281
1.6,2.5,0.342804
1.7,2.5,0.283917
1.8,2.5,0.240691
1.9,2.5,0.207523
2,2.5,0.183506
2.1,2.5,0.163455
2.2,2.5,0.148661
1.2,3,1.06524
1.3,3,0.778604
1.4,3,0.589015
1.5,3,0.460944
1.6,3,0.371323
1.7,3,0.306508
1.8,3,0.258814
1.9,3,0.222538
2,3,0.195031
2.1,3,0.173977
2.2,3,0.157899
1.2,3.5,1.16706
1.3,3.5,0.851518
1.4,3.5,0.642443
1.5,3.5,0.501181
1.6,3.5,0.400375
1.7,3.5,0.328333
1.8,3.5,0.274956
1.9,3.5,0.236628
2,3.5,0.206188
2.1,3.5,0.183648
2.2,3.5,0.166574
1.2,4,1.27854
1.3,4,0.922032
1.4,4,0.694934
1.5,4,0.539216
1.6,4,0.429241
1.7,4,0.35055
1.8,4,0.292951
1.9,4,0.250611
2,4,0.218805
2.1,4,0.19339
2.2,4,0.174808
1.2,4.5,1.40402
1.3,4.5,1.00136
1.4,4.5,0.748207
1.5,4.5,0.579413
1.6,4.5,0.459123
1.7,4.5,0.373416
1.8,4.5,0.309469
1.9,4.5,0.263183
2,4.5,0.228626
2.1,4.5,0.202326
2.2,4.5,0.181632
1.2,5,1.50064
1.3,5,1.0811
1.4,5,0.804118
1.5,5,0.616558
1.6,5,0.488322
1.7,5,0.395145
1.8,5,0.32665
1.9,5,0.276931
2,5,0.239813
2.1,5,0.211056
2.2,5,0.187751
1.2,5.5,1.61387
1.3,5.5,1.15875
1.4,5.5,0.861796
1.5,5.5,0.659213
1.6,5.5,0.516754
1.7,5.5,0.416352
1.8,5.5,0.343309
1.9,5.5,0.290355
2,5.5,0.250204
2.1,5.5,0.217815
2.2,5.5,0.195038
1.2,6,1.72542
1.3,6,1.23779
1.4,6,0.911536
1.5,6,0.698938
1.6,6,0.54692
1.7,6,0.437191
1.8,6,0.362223
1.9,6,0.302758
2,6,0.258315
2.1,6,0.227421
2.2,6,0.200204
