r_leg,W_winding[mm],All_Core_Total_Loss
3,1,0.725647
3.25,1,0.600131
3.5,1,0.516707
3.75,1,0.456695
4,1,0.416721
4.25,1,0.388999
4.5,1,0.369028
4.75,1,0.355531
5,1,0.345505
5.25,1,0.341286
5.5,1,0.337169
3,1.5,0.77154
3.25,1.5,0.632103
3.5,1.5,0.541137
3.75,1.5,0.477615
4,1.5,0.432283
4.25,1.5,0.402487
4.5,1.5,0.382171
4.75,1.5,0.366897
5,1.5,0.357794
5.25,1.5,0.352976
5.5,1.5,0.349073
3,2,0.817148
3.25,2,0.662802
3.5,2,0.561607
3.75,2,0.493935
4,2,0.448683
4.25,2,0.416603
4.5,2,0.392229
4.75,2,0.375718
5,2,0.363783
5.25,2,0.359286
5.5,2,0.354573
3,2.5,0.856269
3.25,2.5,0.692066
3.5,2.5,0.583066
3.75,2.5,0.508351
4,2.5,0.459266
4.25,2.5,0.423372
4.5,2.5,0.397432102
4.75,2.5,0.382214
5,2.5,0.37132
5.25,2.5,0.363551
5.5,2.5,0.361363
3,3,0.897094
3.25,3,0.72064
3.5,3,0.60384
3.75,3,0.523105
4,3,0.46919
4.25,3,0.430789
4.5,3,0.405422
4.75,3,0.386959
5,3,0.37505
5.25,3,0.366724
5.5,3,0.363601
3,3.5,0.939967
3.25,3.5,0.745268
3.5,3.5,0.620678
3.75,3.5,0.537093
4,3.5,0.474658
4.25,3.5,0.436516
4.5,3.5,0.407669
4.75,3.5,0.387179
5,3.5,0.375663
5.25,3.5,0.367383
5.5,3.5,0.363781
3,4,0.976473
3.25,4,0.77142
3.5,4,0.637465
3.75,4,0.547912
4,4,0.48496
4.25,4,0.441945
4.5,4,0.409901
4.75,4,0.390801
5,4,0.37575
5.25,4,0.36828
5.5,4,0.360932
3,4.5,1.02118
3.25,4.5,0.797904
3.5,4.5,0.648041
3.75,4.5,0.557861
4,4.5,0.489819
4.25,4.5,0.441614
4.5,4.5,0.412756
4.75,4.5,0.38868
5,4.5,0.373988
5.25,4.5,0.368561
5.5,4.5,0.36067
3,5,1.063
3.25,5,0.824712
3.5,5,0.669631
3.75,5,0.565762
4,5,0.494152
4.25,5,0.447567
4.5,5,0.41143
4.75,5,0.386951
5,5,0.374026
5.25,5,0.362199
5.5,5,0.357833
3,5.5,1.10583
3.25,5.5,0.852848
3.5,5.5,0.690028
3.75,5.5,0.574461
4,5.5,0.498827
4.25,5.5,0.445035
4.5,5.5,0.410831
4.75,5.5,0.387241
5,5.5,0.369932
5.25,5.5,0.361255
5.5,5.5,0.350078
3,6,1.152
3.25,6,0.88203
3.5,6,0.704289
3.75,6,0.585741
4,6,0.504993
4.25,6,0.447645
4.5,6,0.410553
4.75,6,0.385688
5,6,0.365755
5.25,6,0.356425
5.5,6,0.349027
