r_leg,W_winding[mm],Mag_B[tesla]
1.4,1,0.0736704
1.51,1,0.0618389
1.62,1,0.0536612
1.73,1,0.0481552
1.84,1,0.0427802
1.95,1,0.0383671
2.06,1,0.0348373
2.17,1,0.0303792
2.28,1,0.0278572
2.39,1,0.0254511
2.5,1,0.0234447
1.4,1.5,0.0719923
1.51,1.5,0.063848
1.62,1.5,0.0534625
1.73,1.5,0.0466158
1.84,1.5,0.0422714
1.95,1.5,0.0387255
2.06,1.5,0.0346581
2.17,1.5,0.0305941
2.28,1.5,0.0260294
2.39,1.5,0.025488
2.5,1.5,0.021742
1.4,2,0.0737641
1.51,2,0.0620536
1.62,2,0.0554165
1.73,2,0.0490769
1.84,2,0.0425553
1.95,2,0.037475
2.06,2,0.0337046
2.17,2,0.0292611
2.28,2,0.0275855
2.39,2,0.0245254
2.5,2,0.0221513
1.4,2.5,0.0761638
1.51,2.5,0.0627985
1.62,2.5,0.0523473
1.73,2.5,0.0466952
1.84,2.5,0.0418061
1.95,2.5,0.0375248
2.06,2.5,0.0333192
2.17,2.5,0.0310099
2.28,2.5,0.0278834
2.39,2.5,0.0249412
2.5,2.5,0.0224883
1.4,3,0.0741319
1.51,3,0.0637467
1.62,3,0.056025
1.73,3,0.0493944
1.84,3,0.0444728
1.95,3,0.0383189
2.06,3,0.0334622
2.17,3,0.0318269
2.28,3,0.0290097
2.39,3,0.025498
2.5,3,0.0232854
1.4,3.5,0.0765026
1.51,3.5,0.0655725
1.62,3.5,0.0582454
1.73,3.5,0.049686
1.84,3.5,0.0438186
1.95,3.5,0.0388463
2.06,3.5,0.033851
2.17,3.5,0.0304344
2.28,3.5,0.0269332
2.39,3.5,0.0253448
2.5,3.5,0.0225508
1.4,4,0.080057
1.51,4,0.0661297
1.62,4,0.055165
1.73,4,0.0496646
1.84,4,0.0454712
1.95,4,0.0385723
2.06,4,0.0342999
2.17,4,0.0304522
2.28,4,0.0261721
2.39,4,0.0250065
2.5,4,0.0229681
1.4,4.5,0.0781055
1.51,4.5,0.0683664
1.62,4.5,0.0585291
1.73,4.5,0.0519693
1.84,4.5,0.0436077
1.95,4.5,0.039585
2.06,4.5,0.0345608
2.17,4.5,0.0323641
2.28,4.5,0.0284804
2.39,4.5,0.0246492
2.5,4.5,0.0214272
1.4,5,0.0817931
1.51,5,0.0689961
1.62,5,0.0582134
1.73,5,0.0502408
1.84,5,0.0445938
1.95,5,0.0407731
2.06,5,0.0349649
2.17,5,0.0325833
2.28,5,0.0290589
2.39,5,0.0247323
2.5,5,0.0216296
1.4,5.5,0.0821883
1.51,5.5,0.0700908
1.62,5.5,0.0570359
1.73,5.5,0.0534107
1.84,5.5,0.0442798
1.95,5.5,0.0405605
2.06,5.5,0.0361405
2.17,5.5,0.0306191
2.28,5.5,0.0298873
2.39,5.5,0.0263301
2.5,5.5,0.0247449
1.4,6,0.0828575
1.51,6,0.0687304
1.62,6,0.0599509
1.73,6,0.0512944
1.84,6,0.0464079
1.95,6,0.0410446
2.06,6,0.0349818
2.17,6,0.032276
2.28,6,0.0298434
2.39,6,0.0262647
2.5,6,0.0232137
