r_leg,W_winding[mm],Mag_B[tesla]
2,1,0.111124
2.16,1,0.093517
2.32,1,0.0805573
2.48,1,0.0717535
2.64,1,0.0641899
2.8,1,0.0573209
2.96,1,0.0510413
3.12,1,0.0466204
3.28,1,0.0409809
3.44,1,0.0385434
3.6,1,0.0333773
2,1.5,0.109838
2.16,1.5,0.0922812
2.32,1.5,0.0783991
2.48,1.5,0.0695255
2.64,1.5,0.0626956
2.8,1.5,0.0574134
2.96,1.5,0.050107
3.12,1.5,0.0444677
3.28,1.5,0.0415723
3.44,1.5,0.0384556
3.6,1.5,0.0328206
2,2,0.105185
2.16,2,0.0877226
2.32,2,0.077325
2.48,2,0.0693481
2.64,2,0.0627776
2.8,2,0.0545755
2.96,2,0.0491391
3.12,2,0.044183
3.28,2,0.0381572
3.44,2,0.0346229
3.6,2,0.0333058
2,2.5,0.107137
2.16,2.5,0.0917315
2.32,2.5,0.0834809
2.48,2.5,0.0683851
2.64,2.5,0.0613602
2.8,2.5,0.0528136
2.96,2.5,0.047694
3.12,2.5,0.0441011
3.28,2.5,0.0384912
3.44,2.5,0.0376782
3.6,2.5,0.0319472
2,3,0.10888
2.16,3,0.0896628
2.32,3,0.0800505
2.48,3,0.0698024
2.64,3,0.0596952
2.8,3,0.0545159
2.96,3,0.0471429
3.12,3,0.0426939
3.28,3,0.0370672
3.44,3,0.035639
3.6,3,0.0325728
2,3.5,0.110267
2.16,3.5,0.0951097
2.32,3.5,0.0777155
2.48,3.5,0.0681549
2.64,3.5,0.0620073
2.8,3.5,0.0557894
2.96,3.5,0.0477462
3.12,3.5,0.0421727
3.28,3.5,0.0399633
3.44,3.5,0.0366531
3.6,3.5,0.0329646
2,4,0.109998
2.16,4,0.0960384
2.32,4,0.0808092
2.48,4,0.0690641
2.64,4,0.061535
2.8,4,0.0545702
2.96,4,0.0498128
3.12,4,0.0432097
3.28,4,0.041475
3.44,4,0.0365532
3.6,4,0.0315945
2,4.5,0.114634
2.16,4.5,0.0943922
2.32,4.5,0.085646
2.48,4.5,0.070888
2.64,4.5,0.0616966
2.8,4.5,0.055765
2.96,4.5,0.0490454
3.12,4.5,0.0445142
3.28,4.5,0.0395277
3.44,4.5,0.037645
3.6,4.5,0.032002
2,5,0.11445
2.16,5,0.096793
2.32,5,0.0853016
2.48,5,0.0689185
2.64,5,0.0637659
2.8,5,0.0568417
2.96,5,0.051862
3.12,5,0.0438538
3.28,5,0.0407423
3.44,5,0.0355863
3.6,5,0.0342837
2,5.5,0.116396
2.16,5.5,0.0962396
2.32,5.5,0.0869771
2.48,5.5,0.0742288
2.64,5.5,0.0611565
2.8,5.5,0.0555196
2.96,5.5,0.0507065
3.12,5.5,0.0447411
3.28,5.5,0.0406896
3.44,5.5,0.0359248
3.6,5.5,0.0344155
2,6,0.120285
2.16,6,0.102155
2.32,6,0.0853911
2.48,6,0.0726561
2.64,6,0.0634027
2.8,6,0.0596396
2.96,6,0.0503045
3.12,6,0.044235
3.28,6,0.0414351
3.44,6,0.037494
3.6,6,0.0335994
