r_leg,W_winding[mm],Mag_B[tesla]
2,1,0.181317
2.16,1,0.148259
2.32,1,0.122334
2.48,1,0.115266
2.64,1,0.101281
2.8,1,0.0929757
2.96,1,0.0813699
3.12,1,0.072342
3.28,1,0.0663062
3.44,1,0.0596858
3.6,1,0.0582955
2,1.5,0.170823
2.16,1.5,0.144399
2.32,1.5,0.126944
2.48,1.5,0.110618
2.64,1.5,0.100986
2.8,1.5,0.0878982
2.96,1.5,0.0785809
3.12,1.5,0.0720015
3.28,1.5,0.0643858
3.44,1.5,0.0557927
3.6,1.5,0.0542424
2,2,0.171051
2.16,2,0.144639
2.32,2,0.127095
2.48,2,0.109839
2.64,2,0.0982063
2.8,2,0.0824601
2.96,2,0.0741062
3.12,2,0.0715346
3.28,2,0.0612837
3.44,2,0.0556507
3.6,2,0.0525203
2,2.5,0.172343
2.16,2.5,0.143321
2.32,2.5,0.126073
2.48,2.5,0.113066
2.64,2.5,0.0981141
2.8,2.5,0.0861899
2.96,2.5,0.0778358
3.12,2.5,0.0679676
3.28,2.5,0.0633455
3.44,2.5,0.0544368
3.6,2.5,0.0532693
2,3,0.172159
2.16,3,0.145889
2.32,3,0.128279
2.48,3,0.111057
2.64,3,0.10067
2.8,3,0.0869166
2.96,3,0.0794968
3.12,3,0.0695939
3.28,3,0.0627181
3.44,3,0.0558944
3.6,3,0.0542083
2,3.5,0.175265
2.16,3.5,0.151195
2.32,3.5,0.125466
2.48,3.5,0.11116
2.64,3.5,0.0952441
2.8,3.5,0.0874631
2.96,3.5,0.075685
3.12,3.5,0.0675052
3.28,3.5,0.0644024
3.44,3.5,0.0564562
3.6,3.5,0.0532343
2,4,0.171803
2.16,4,0.150907
2.32,4,0.134509
2.48,4,0.110979
2.64,4,0.0957831
2.8,4,0.0875686
2.96,4,0.0792466
3.12,4,0.0737847
3.28,4,0.0621491
3.44,4,0.0584854
3.6,4,0.0538492
2,4.5,0.182896
2.16,4.5,0.151427
2.32,4.5,0.129694
2.48,4.5,0.110785
2.64,4.5,0.0996314
2.8,4.5,0.0883922
2.96,4.5,0.0822661
3.12,4.5,0.068561
3.28,4.5,0.0626975
3.44,4.5,0.0590381
3.6,4.5,0.0540784
2,5,0.17841
2.16,5,0.153954
2.32,5,0.128783
2.48,5,0.109109
2.64,5,0.101137
2.8,5,0.0868401
2.96,5,0.0764976
3.12,5,0.0682986
3.28,5,0.0616511
3.44,5,0.0587222
3.6,5,0.052382
2,5.5,0.185047
2.16,5.5,0.156756
2.32,5.5,0.12899
2.48,5.5,0.11564
2.64,5.5,0.100292
2.8,5.5,0.0918543
2.96,5.5,0.0792557
3.12,5.5,0.0693698
3.28,5.5,0.0673598
3.44,5.5,0.0582825
3.6,5.5,0.0536555
2,6,0.189694
2.16,6,0.164967
2.32,6,0.136345
2.48,6,0.112157
2.64,6,0.103726
2.8,6,0.0890811
2.96,6,0.0793807
3.12,6,0.0710984
3.28,6,0.0649506
3.44,6,0.0587158
3.6,6,0.0533938
