r_leg,W_winding[mm],Mag_B[tesla]
1.6,1,0.0767115
1.73,1,0.066626
1.86,1,0.0587865
1.99,1,0.05059
2.12,1,0.044388
2.25,1,0.0410101
2.38,1,0.0355991
2.51,1,0.0321836
2.64,1,0.0284974
2.77,1,0.0263825
2.9,1,0.0242448
1.6,1.5,0.0772754
1.73,1.5,0.0641338
1.86,1.5,0.0563426
1.99,1.5,0.0504545
2.12,1.5,0.0452405
2.25,1.5,0.0387335
2.38,1.5,0.0359453
2.51,1.5,0.0297722
2.64,1.5,0.0293884
2.77,1.5,0.02363
2.9,1.5,0.0229493
1.6,2,0.0781269
1.73,2,0.0669717
1.86,2,0.0601895
1.99,2,0.0529143
2.12,2,0.0426257
2.25,2,0.0386642
2.38,2,0.0333372
2.51,2,0.0313214
2.64,2,0.0282865
2.77,2,0.024571
2.9,2,0.0241391
1.6,2.5,0.0812086
1.73,2.5,0.0658485
1.86,2.5,0.0587811
1.99,2.5,0.0511848
2.12,2.5,0.0446697
2.25,2.5,0.0373813
2.38,2.5,0.0335158
2.51,2.5,0.0288085
2.64,2.5,0.0286419
2.77,2.5,0.0247427
2.9,2.5,0.022312
1.6,3,0.0814856
1.73,3,0.068603
1.86,3,0.0590262
1.99,3,0.051376
2.12,3,0.0433118
2.25,3,0.0395523
2.38,3,0.0362352
2.51,3,0.0324899
2.64,3,0.0278864
2.77,3,0.0260969
2.9,3,0.0224938
1.6,3.5,0.0815125
1.73,3.5,0.0689119
1.86,3.5,0.0589587
1.99,3.5,0.0503663
2.12,3.5,0.0451556
2.25,3.5,0.0400147
2.38,3.5,0.0353307
2.51,3.5,0.0308727
2.64,3.5,0.028517
2.77,3.5,0.0254004
2.9,3.5,0.022739
1.6,4,0.0818597
1.73,4,0.0695145
1.86,4,0.0588431
1.99,4,0.0518169
2.12,4,0.0445775
2.25,4,0.0406983
2.38,4,0.0368118
2.51,4,0.0305558
2.64,4,0.0300707
2.77,4,0.0241597
2.9,4,0.0239705
1.6,4.5,0.0804116
1.73,4.5,0.0703904
1.86,4.5,0.0583215
1.99,4.5,0.0512249
2.12,4.5,0.0466348
2.25,4.5,0.0404353
2.38,4.5,0.0359579
2.51,4.5,0.0308316
2.64,4.5,0.0287816
2.77,4.5,0.0255059
2.9,4.5,0.0229052
1.6,5,0.0868469
1.73,5,0.0696056
1.86,5,0.0620255
1.99,5,0.0508206
2.12,5,0.0468772
2.25,5,0.0410549
2.38,5,0.0355987
2.51,5,0.0329465
2.64,5,0.0291619
2.77,5,0.0258509
2.9,5,0.0236603
1.6,5.5,0.0860729
1.73,5.5,0.0727905
1.86,5.5,0.0620919
1.99,5.5,0.0533375
2.12,5.5,0.0485215
2.25,5.5,0.0399782
2.38,5.5,0.0370339
2.51,5.5,0.0324163
2.64,5.5,0.0289801
2.77,5.5,0.0274551
2.9,5.5,0.0229853
1.6,6,0.0886883
1.73,6,0.0729783
1.86,6,0.060432
1.99,6,0.0541987
2.12,6,0.0466113
2.25,6,0.0416648
2.38,6,0.0369465
2.51,6,0.0327819
2.64,6,0.0300366
2.77,6,0.025856
2.9,6,0.024151
