r_leg,W_winding[mm],Mag_B[tesla]
1.4,1,0.101523
1.51,1,0.0820682
1.62,1,0.0746207
1.73,1,0.0628016
1.84,1,0.0584627
1.95,1,0.0542504
2.06,1,0.0460733
2.17,1,0.0422597
2.28,1,0.0371629
2.39,1,0.0344524
2.5,1,0.032749
1.4,1.5,0.0978625
1.51,1.5,0.0871223
1.62,1.5,0.0721939
1.73,1.5,0.0645965
1.84,1.5,0.0599862
1.95,1.5,0.0500593
2.06,1.5,0.046173
2.17,1.5,0.0419284
2.28,1.5,0.0371961
2.39,1.5,0.0329813
2.5,1.5,0.0305122
1.4,2,0.0995356
1.51,2,0.0854332
1.62,2,0.0752607
1.73,2,0.0628774
1.84,2,0.0564532
1.95,2,0.0507544
2.06,2,0.0451535
2.17,2,0.0397169
2.28,2,0.0380685
2.39,2,0.0346299
2.5,2,0.029524
1.4,2.5,0.102963
1.51,2.5,0.0871634
1.62,2.5,0.0745987
1.73,2.5,0.0630157
1.84,2.5,0.0587044
1.95,2.5,0.0504515
2.06,2.5,0.044736
2.17,2.5,0.0430533
2.28,2.5,0.0372278
2.39,2.5,0.0334006
2.5,2.5,0.0308489
1.4,3,0.104879
1.51,3,0.0866809
1.62,3,0.0758342
1.73,3,0.0657927
1.84,3,0.0568058
1.95,3,0.0489603
2.06,3,0.0445878
2.17,3,0.0414899
2.28,3,0.0383251
2.39,3,0.0340507
2.5,3,0.0326109
1.4,3.5,0.104575
1.51,3.5,0.0848585
1.62,3.5,0.0774913
1.73,3.5,0.0677154
1.84,3.5,0.0579438
1.95,3.5,0.052885
2.06,3.5,0.043821
2.17,3.5,0.0409474
2.28,3.5,0.0369543
2.39,3.5,0.0345522
2.5,3.5,0.0301924
1.4,4,0.106235
1.51,4,0.0885845
1.62,4,0.0754422
1.73,4,0.0666131
1.84,4,0.0572047
1.95,4,0.053743
2.06,4,0.0465677
2.17,4,0.0410341
2.28,4,0.0365562
2.39,4,0.0349011
2.5,4,0.0318074
1.4,4.5,0.107602
1.51,4.5,0.0897965
1.62,4.5,0.0779681
1.73,4.5,0.068111
1.84,4.5,0.0577701
1.95,4.5,0.0531842
2.06,4.5,0.0491285
2.17,4.5,0.0419896
2.28,4.5,0.0380673
2.39,4.5,0.033433
2.5,4.5,0.0304704
1.4,5,0.107477
1.51,5,0.0930854
1.62,5,0.0778655
1.73,5,0.0672817
1.84,5,0.0598354
1.95,5,0.0537978
2.06,5,0.0483106
2.17,5,0.042814
2.28,5,0.0395373
2.39,5,0.0345678
2.5,5,0.0300329
1.4,5.5,0.109436
1.51,5.5,0.0939452
1.62,5.5,0.0806893
1.73,5.5,0.0692104
1.84,5.5,0.0582135
1.95,5.5,0.0507044
2.06,5.5,0.0487943
2.17,5.5,0.0435176
2.28,5.5,0.037927
2.39,5.5,0.0367717
2.5,5.5,0.0312103
1.4,6,0.112896
1.51,6,0.0972507
1.62,6,0.0802465
1.73,6,0.0690269
1.84,6,0.061275
1.95,6,0.0545226
2.06,6,0.0488106
2.17,6,0.0429239
2.28,6,0.0397315
2.39,6,0.0341307
2.5,6,0.0303906
