r_leg,W_winding[mm],Mag_B[tesla]
1.2,1,0.0782752
1.3,1,0.0662612
1.4,1,0.0567518
1.5,1,0.0497818
1.6,1,0.0427421
1.7,1,0.0380235
1.8,1,0.0339563
1.9,1,0.0305027
2,1,0.0277771
2.1,1,0.0253614
2.2,1,0.0227736
1.2,1.5,0.0799363
1.3,1.5,0.0671806
1.4,1.5,0.0554966
1.5,1.5,0.0505431
1.6,1.5,0.0420625
1.7,1.5,0.0381579
1.8,1.5,0.0338692
1.9,1.5,0.0312103
2,1.5,0.0268611
2.1,1.5,0.0241731
2.2,1.5,0.0221359
1.2,2,0.0773147
1.3,2,0.0679835
1.4,2,0.0574323
1.5,2,0.047863
1.6,2,0.0426827
1.7,2,0.0371269
1.8,2,0.0336365
1.9,2,0.0290539
2,2,0.0274276
2.1,2,0.0238966
2.2,2,0.0223191
1.2,2.5,0.0814066
1.3,2.5,0.0663014
1.4,2.5,0.0566456
1.5,2.5,0.0494605
1.6,2.5,0.0436467
1.7,2.5,0.0393206
1.8,2.5,0.0338157
1.9,2.5,0.0291722
2,2.5,0.0281057
2.1,2.5,0.0244591
2.2,2.5,0.0229104
1.2,3,0.0805187
1.3,3,0.0651101
1.4,3,0.0569694
1.5,3,0.0518552
1.6,3,0.0439181
1.7,3,0.039132
1.8,3,0.035376
1.9,3,0.0306666
2,3,0.026181
2.1,3,0.0257153
2.2,3,0.0225756
1.2,3.5,0.08226
1.3,3.5,0.0692587
1.4,3.5,0.0612573
1.5,3.5,0.0504616
1.6,3.5,0.0458383
1.7,3.5,0.039321
1.8,3.5,0.0358067
1.9,3.5,0.0314215
2,3.5,0.0284346
2.1,3.5,0.0246735
2.2,3.5,0.0224414
1.2,4,0.0821269
1.3,4,0.0709334
1.4,4,0.059646
1.5,4,0.0503081
1.6,4,0.0454404
1.7,4,0.0385667
1.8,4,0.0357229
1.9,4,0.0320421
2,4,0.0281564
2.1,4,0.0254315
2.2,4,0.0228844
1.2,4.5,0.0839834
1.3,4.5,0.0706551
1.4,4.5,0.061309
1.5,4.5,0.0526886
1.6,4.5,0.043393
1.7,4.5,0.0409481
1.8,4.5,0.0357671
1.9,4.5,0.0306826
2,4.5,0.0287126
2.1,4.5,0.0251795
2.2,4.5,0.0236406
1.2,5,0.0842574
1.3,5,0.0726604
1.4,5,0.061253
1.5,5,0.0527799
1.6,5,0.0453089
1.7,5,0.0392367
1.8,5,0.037404
1.9,5,0.0315177
2,5,0.0302694
2.1,5,0.0256493
2.2,5,0.0228325
1.2,5.5,0.0890417
1.3,5.5,0.072325
1.4,5.5,0.061423
1.5,5.5,0.0511772
1.6,5.5,0.0445626
1.7,5.5,0.0404933
1.8,5.5,0.0366652
1.9,5.5,0.0315188
2,5.5,0.0298318
2.1,5.5,0.0272196
2.2,5.5,0.0231332
1.2,6,0.0893614
1.3,6,0.0727658
1.4,6,0.0631135
1.5,6,0.0552897
1.6,6,0.0465218
1.7,6,0.0425497
1.8,6,0.0359537
1.9,6,0.0314298
2,6,0.0284242
2.1,6,0.0258428
2.2,6,0.0242339
