r_leg,W_winding[mm],Mag_B[tesla]
3,1,0.180483
3.25,1,0.153887
3.5,1,0.133011
3.75,1,0.117452
4,1,0.102236
4.25,1,0.0969439
4.5,1,0.084354
4.75,1,0.0743268
5,1,0.0658125
5.25,1,0.0631745
5.5,1,0.0565393
3,1.5,0.17936
3.25,1.5,0.147616
3.5,1.5,0.126315
3.75,1.5,0.113743
4,1.5,0.102983
4.25,1.5,0.0879858
4.5,1.5,0.0821652
4.75,1.5,0.0728411
5,1.5,0.0640659
5.25,1.5,0.058969
5.5,1.5,0.0537191
3,2,0.177465
3.25,2,0.151263
3.5,2,0.123128
3.75,2,0.119336
4,2,0.100866
4.25,2,0.0877899
4.5,2,0.0761762
4.75,2,0.0718288
5,2,0.0632258
5.25,2,0.0562231
5.5,2,0.0524384
3,2.5,0.172753
3.25,2.5,0.149657
3.5,2.5,0.131625
3.75,2.5,0.111656
4,2.5,0.0966479
4.25,2.5,0.0845831
4.5,2.5,0.0768886
4.75,2.5,0.0699734
5,2.5,0.0596632
5.25,2.5,0.0570394
5.5,2.5,0.0521361
3,3,0.17732
3.25,3,0.152962
3.5,3,0.130358
3.75,3,0.114494
4,3,0.0998806
4.25,3,0.0873754
4.5,3,0.0747455
4.75,3,0.0695715
5,3,0.0607265
5.25,3,0.0560433
5.5,3,0.0517584
3,3.5,0.181622
3.25,3.5,0.149469
3.5,3.5,0.128425
3.75,3.5,0.111152
4,3.5,0.0983464
4.25,3.5,0.085217
4.5,3.5,0.0794501
4.75,3.5,0.0735091
5,3.5,0.0632178
5.25,3.5,0.0593661
5.5,3.5,0.053024
3,4,0.180589
3.25,4,0.148109
3.5,4,0.134404
3.75,4,0.114635
4,4,0.098863
4.25,4,0.0863508
4.5,4,0.0758947
4.75,4,0.0726177
5,4,0.0620185
5.25,4,0.057524
5.5,4,0.0539726
3,4.5,0.180698
3.25,4.5,0.153126
3.5,4.5,0.13214
3.75,4.5,0.115874
4,4.5,0.101233
4.25,4.5,0.0876808
4.5,4.5,0.076934
4.75,4.5,0.0717665
5,4.5,0.0581105
5.25,4.5,0.0573093
5.5,4.5,0.0507499
3,5,0.184885
3.25,5,0.159444
3.5,5,0.129149
3.75,5,0.119782
4,5,0.102098
4.25,5,0.0895607
4.5,5,0.0774822
4.75,5,0.0699921
5,5,0.0623412
5.25,5,0.0571059
5.5,5,0.0508844
3,5.5,0.184737
3.25,5.5,0.157321
3.5,5.5,0.133209
3.75,5.5,0.110735
4,5.5,0.102066
4.25,5.5,0.0827294
4.5,5.5,0.0827176
4.75,5.5,0.0697102
5,5.5,0.0639093
5.25,5.5,0.0581561
5.5,5.5,0.0522109
3,6,0.186852
3.25,6,0.157132
3.5,6,0.130397
3.75,6,0.118574
4,6,0.105586
4.25,6,0.087517
4.5,6,0.0800313
4.75,6,0.0730266
5,6,0.0627616
5.25,6,0.0580192
5.5,6,0.0521434
