r_leg,W_winding[mm],Mag_B[tesla]
3,1,0.11443
3.25,1,0.0967148
3.5,1,0.0833176
3.75,1,0.0728788
4,1,0.0656989
4.25,1,0.0574601
4.5,1,0.0539319
4.75,1,0.0476631
5,1,0.0430343
5.25,1,0.0388133
5.5,1,0.033905
3,1.5,0.111983
3.25,1.5,0.0944947
3.5,1.5,0.0802111
3.75,1.5,0.072949
4,1.5,0.0605332
4.25,1.5,0.055434
4.5,1.5,0.0496522
4.75,1.5,0.0437815
5,1.5,0.0397784
5.25,1.5,0.036547
5.5,1.5,0.0323272
3,2,0.111505
3.25,2,0.0935595
3.5,2,0.0826568
3.75,2,0.0694348
4,2,0.0602042
4.25,2,0.0540779
4.5,2,0.0497059
4.75,2,0.0437451
5,2,0.0374136
5.25,2,0.0351602
5.5,2,0.0332396
3,2.5,0.11018
3.25,2.5,0.0920929
3.5,2.5,0.0812931
3.75,2.5,0.070096
4,2.5,0.0608896
4.25,2.5,0.0552372
4.5,2.5,0.00496281
4.75,2.5,0.0420776
5,2.5,0.0376049
5.25,2.5,0.0347438
5.5,2.5,0.0319379
3,3,0.110723
3.25,3,0.0954148
3.5,3,0.0818093
3.75,3,0.0743319
4,3,0.0635792
4.25,3,0.0540727
4.5,3,0.0476515
4.75,3,0.0432032
5,3,0.0378202
5.25,3,0.034364
5.5,3,0.0311084
3,3.5,0.110286
3.25,3.5,0.0964696
3.5,3.5,0.0845995
3.75,3.5,0.0698967
4,3.5,0.0619443
4.25,3.5,0.0567322
4.5,3.5,0.0469058
4.75,3.5,0.043071
5,3.5,0.0391056
5.25,3.5,0.0349354
5.5,3.5,0.0312239
3,4,0.115455
3.25,4,0.0931129
3.5,4,0.0788039
3.75,4,0.0705962
4,4,0.0602439
4.25,4,0.0547099
4.5,4,0.0464528
4.75,4,0.0429497
5,4,0.0396754
5.25,4,0.0357404
5.5,4,0.0318072
3,4.5,0.110246
3.25,4.5,0.0989454
3.5,4.5,0.0809854
3.75,4.5,0.0729148
4,4.5,0.062532
4.25,4.5,0.0563258
4.5,4.5,0.0491233
4.75,4.5,0.0444283
5,4.5,0.0391696
5.25,4.5,0.0357839
5.5,4.5,0.0308844
3,5,0.115092
3.25,5,0.0982916
3.5,5,0.0821004
3.75,5,0.0718921
4,5,0.0636795
4.25,5,0.0547087
4.5,5,0.0474853
4.75,5,0.0453533
5,5,0.0386826
5.25,5,0.036331
5.5,5,0.0312601
3,5.5,0.121653
3.25,5.5,0.0975655
3.5,5.5,0.0891966
3.75,5.5,0.0722293
4,5.5,0.0640874
4.25,5.5,0.0562222
4.5,5.5,0.0490838
4.75,5.5,0.0453503
5,5.5,0.0379205
5.25,5.5,0.0362477
5.5,5.5,0.0335235
3,6,0.118652
3.25,6,0.10044
3.5,6,0.0827513
3.75,6,0.073201
4,6,0.0658163
4.25,6,0.0563274
4.5,6,0.0506132
4.75,6,0.044275
5,6,0.0422552
5.25,6,0.0349044
5.5,6,0.0323954
