r_leg,W_winding[mm],Mag_B[tesla]
3,1,0.0865889
3.25,1,0.0700011
3.5,1,0.0608201
3.75,1,0.0526167
4,1,0.0486317
4.25,1,0.0435383
4.5,1,0.0382004
4.75,1,0.0332844
5,1,0.0291267
5.25,1,0.026952
5.5,1,0.0235341
3,1.5,0.0839657
3.25,1.5,0.0705414
3.5,1.5,0.0627707
3.75,1.5,0.054945
4,1.5,0.0443865
4.25,1.5,0.0390105
4.5,1.5,0.0358648
4.75,1.5,0.0320709
5,1.5,0.0274141
5.25,1.5,0.0263492
5.5,1.5,0.0225682
3,2,0.0836106
3.25,2,0.0707716
3.5,2,0.0595436
3.75,2,0.0509737
4,2,0.0447069
4.25,2,0.0406189
4.5,2,0.0352959
4.75,2,0.0306887
5,2,0.0279194
5.25,2,0.0251947
5.5,2,0.0220411
3,2.5,0.0806947
3.25,2.5,0.070655
3.5,2.5,0.0586167
3.75,2.5,0.0511143
4,2.5,0.0441915
4.25,2.5,0.0392275
4.5,2.5,0.0357637
4.75,2.5,0.032628
5,2.5,0.0278955
5.25,2.5,0.0254495
5.5,2.5,0.0228691
3,3,0.0841734
3.25,3,0.0712075
3.5,3,0.0615111
3.75,3,0.0526863
4,3,0.0444715
4.25,3,0.0413854
4.5,3,0.0345137
4.75,3,0.0299618
5,3,0.0263087
5.25,3,0.0249512
5.5,3,0.0238034
3,3.5,0.0832051
3.25,3.5,0.0719606
3.5,3.5,0.0625877
3.75,3.5,0.0505447
4,3.5,0.0428893
4.25,3.5,0.0416863
4.5,3.5,0.0355103
4.75,3.5,0.0321413
5,3.5,0.0289908
5.25,3.5,0.0253675
5.5,3.5,0.0223238
3,4,0.0862444
3.25,4,0.0683374
3.5,4,0.0625921
3.75,4,0.0510581
4,4,0.0458148
4.25,4,0.0414946
4.5,4,0.0359984
4.75,4,0.0306676
5,4,0.0282244
5.25,4,0.0250357
5.5,4,0.0228452
3,4.5,0.0873656
3.25,4.5,0.0722768
3.5,4.5,0.0639415
3.75,4.5,0.0558627
4,4.5,0.0468284
4.25,4.5,0.038601
4.5,4.5,0.0359749
4.75,4.5,0.0331405
5,4.5,0.0291898
5.25,4.5,0.0264248
5.5,4.5,0.0234956
3,5,0.0876785
3.25,5,0.0740514
3.5,5,0.064149
3.75,5,0.0529389
4,5,0.0465335
4.25,5,0.0420111
4.5,5,0.0372111
4.75,5,0.0335799
5,5,0.0302547
5.25,5,0.0272759
5.5,5,0.0226654
3,5.5,0.089325
3.25,5.5,0.0725882
3.5,5.5,0.0633183
3.75,5.5,0.0534364
4,5.5,0.0478572
4.25,5.5,0.0421372
4.5,5.5,0.0371208
4.75,5.5,0.0330431
5,5.5,0.0282885
5.25,5.5,0.0261789
5.5,5.5,0.0247508
3,6,0.0885093
3.25,6,0.0727527
3.5,6,0.0656141
3.75,6,0.0576624
4,6,0.0470259
4.25,6,0.0416125
4.5,6,0.0372669
4.75,6,0.0324775
5,6,0.0292148
5.25,6,0.0263161
5.5,6,0.0225691
