r_leg,W_winding[mm],Mag_B[tesla]
1.2,1,0.104503
1.3,1,0.0904927
1.4,1,0.0762304
1.5,1,0.0679009
1.6,1,0.0588633
1.7,1,0.0512361
1.8,1,0.0454792
1.9,1,0.0410299
2,1,0.0373946
2.1,1,0.0347642
2.2,1,0.0297171
1.2,1.5,0.105355
1.3,1.5,0.0892364
1.4,1.5,0.0747287
1.5,1.5,0.0647759
1.6,1.5,0.0574222
1.7,1.5,0.0512163
1.8,1.5,0.0451097
1.9,1.5,0.040961
2,1.5,0.0361545
2.1,1.5,0.0319208
2.2,1.5,0.0296806
1.2,2,0.103649
1.3,2,0.0911849
1.4,2,0.0763231
1.5,2,0.0693397
1.6,2,0.0578642
1.7,2,0.0492748
1.8,2,0.0455871
1.9,2,0.0392312
2,2,0.0390571
2.1,2,0.032856
2.2,2,0.0291871
1.2,2.5,0.102821
1.3,2.5,0.0866327
1.4,2.5,0.075409
1.5,2.5,0.068734
1.6,2.5,0.0578807
1.7,2.5,0.052709
1.8,2.5,0.0463536
1.9,2.5,0.0410159
2,2.5,0.0367821
2.1,2.5,0.0331595
2.2,2.5,0.0298685
1.2,3,0.102025
1.3,3,0.0896853
1.4,3,0.073442
1.5,3,0.0656904
1.6,3,0.0584061
1.7,3,0.051029
1.8,3,0.0449898
1.9,3,0.040565
2,3,0.0356294
2.1,3,0.035082
2.2,3,0.0300164
1.2,3.5,0.109746
1.3,3.5,0.0900439
1.4,3.5,0.0786143
1.5,3.5,0.0678561
1.6,3.5,0.0626
1.7,3.5,0.0527097
1.8,3.5,0.0473578
1.9,3.5,0.0425216
2,3.5,0.0368965
2.1,3.5,0.0350052
2.2,3.5,0.0303163
1.2,4,0.113067
1.3,4,0.0936507
1.4,4,0.0794927
1.5,4,0.069809
1.6,4,0.057978
1.7,4,0.0510599
1.8,4,0.0471421
1.9,4,0.0434716
2,4,0.0361821
2.1,4,0.0333135
2.2,4,0.0313231
1.2,4.5,0.115592
1.3,4.5,0.0940579
1.4,4.5,0.0812144
1.5,4.5,0.0727732
1.6,4.5,0.0582862
1.7,4.5,0.0521585
1.8,4.5,0.0480794
1.9,4.5,0.0418486
2,4.5,0.0392228
2.1,4.5,0.0341553
2.2,4.5,0.0301652
1.2,5,0.11224
1.3,5,0.0939151
1.4,5,0.0827552
1.5,5,0.0698727
1.6,5,0.0606795
1.7,5,0.054804
1.8,5,0.0480269
1.9,5,0.0425284
2,5,0.0390346
2.1,5,0.0331746
2.2,5,0.0310603
1.2,5.5,0.118664
1.3,5.5,0.0983749
1.4,5.5,0.0841199
1.5,5.5,0.0719979
1.6,5.5,0.0593231
1.7,5.5,0.0541071
1.8,5.5,0.0488252
1.9,5.5,0.0429756
2,5.5,0.0386268
2.1,5.5,0.0355401
2.2,5.5,0.0323501
1.2,6,0.1157
1.3,6,0.0964445
1.4,6,0.0836353
1.5,6,0.0727343
1.6,6,0.0637492
1.7,6,0.0556755
1.8,6,0.048975
1.9,6,0.0423391
2,6,0.0382648
2.1,6,0.0351827
2.2,6,0.0330926
