r_leg,W_winding[mm],Mag_B[tesla]
1.6,1,0.10372
1.73,1,0.0885596
1.86,1,0.0763426
1.99,1,0.0704634
2.12,1,0.0615584
2.25,1,0.0552789
2.38,1,0.0489548
2.51,1,0.0442941
2.64,1,0.039367
2.77,1,0.0362143
2.9,1,0.0335476
1.6,1.5,0.106183
1.73,1.5,0.0877922
1.86,1.5,0.0798608
1.99,1.5,0.0667059
2.12,1.5,0.05881
2.25,1.5,0.0528237
2.38,1.5,0.0470699
2.51,1.5,0.0416143
2.64,1.5,0.0398926
2.77,1.5,0.0351151
2.9,1.5,0.0317215
1.6,2,0.105792
1.73,2,0.0890798
1.86,2,0.0772627
1.99,2,0.0679562
2.12,2,0.0591665
2.25,2,0.0531503
2.38,2,0.0465151
2.51,2,0.0429115
2.64,2,0.0379069
2.77,2,0.036167
2.9,2,0.0297621
1.6,2.5,0.101974
1.73,2.5,0.0888554
1.86,2.5,0.0747483
1.99,2.5,0.0684845
2.12,2.5,0.0621059
2.25,2.5,0.0524116
2.38,2.5,0.0465679
2.51,2.5,0.0407854
2.64,2.5,0.0386432
2.77,2.5,0.0326985
2.9,2.5,0.0311808
1.6,3,0.107121
1.73,3,0.0897991
1.86,3,0.0825808
1.99,3,0.0672702
2.12,3,0.0594075
2.25,3,0.0542507
2.38,3,0.0499777
2.51,3,0.0433941
2.64,3,0.040118
2.77,3,0.0345179
2.9,3,0.0321473
1.6,3.5,0.109247
1.73,3.5,0.0943887
1.86,3.5,0.0780672
1.99,3.5,0.0673882
2.12,3.5,0.0615904
2.25,3.5,0.0540878
2.38,3.5,0.047072
2.51,3.5,0.0411989
2.64,3.5,0.038131
2.77,3.5,0.0346981
2.9,3.5,0.0317589
1.6,4,0.111758
1.73,4,0.092858
1.86,4,0.0804311
1.99,4,0.0705243
2.12,4,0.0613817
2.25,4,0.0524809
2.38,4,0.0486052
2.51,4,0.0429698
2.64,4,0.0399421
2.77,4,0.0344875
2.9,4,0.0312051
1.6,4.5,0.112544
1.73,4.5,0.0937966
1.86,4.5,0.0808533
1.99,4.5,0.0708693
2.12,4.5,0.0596667
2.25,4.5,0.0552439
2.38,4.5,0.0469242
2.51,4.5,0.0430269
2.64,4.5,0.038796
2.77,4.5,0.0347817
2.9,4.5,0.0310443
1.6,5,0.113519
1.73,5,0.0964694
1.86,5,0.0833021
1.99,5,0.0684565
2.12,5,0.0639975
2.25,5,0.0548256
2.38,5,0.045665
2.51,5,0.0433332
2.64,5,0.0396708
2.77,5,0.035565
2.9,5,0.0317632
1.6,5.5,0.112191
1.73,5.5,0.0939104
1.86,5.5,0.0831508
1.99,5.5,0.0695671
2.12,5.5,0.0659502
2.25,5.5,0.0527544
2.38,5.5,0.0477621
2.51,5.5,0.0439056
2.64,5.5,0.0386538
2.77,5.5,0.0357683
2.9,5.5,0.0323411
1.6,6,0.11782
1.73,6,0.0988184
1.86,6,0.085139
1.99,6,0.0720414
2.12,6,0.0646585
2.25,6,0.0554791
2.38,6,0.0491848
2.51,6,0.0454161
2.64,6,0.0403332
2.77,6,0.0354786
2.9,6,0.0335126
