r_leg,W_winding[mm],Mag_B[tesla]
1.4,1,0.147029
1.51,1,0.123508
1.62,1,0.113417
1.73,1,0.099353
1.84,1,0.0890227
1.95,1,0.0770463
2.06,1,0.0739932
2.17,1,0.0644388
2.28,1,0.0583329
2.39,1,0.0531398
2.5,1,0.0499171
1.4,1.5,0.151721
1.51,1.5,0.123675
1.62,1.5,0.109814
1.73,1.5,0.0962071
1.84,1.5,0.085401
1.95,1.5,0.0761971
2.06,1.5,0.0715845
2.17,1.5,0.0627657
2.28,1.5,0.0540553
2.39,1.5,0.0518155
2.5,1.5,0.0475739
1.4,2,0.152138
1.51,2,0.12804
1.62,2,0.115979
1.73,2,0.0992191
1.84,2,0.0867018
1.95,2,0.0782806
2.06,2,0.0681438
2.17,2,0.0604957
2.28,2,0.0580227
2.39,2,0.0525192
2.5,2,0.046167
1.4,2.5,0.154459
1.51,2.5,0.128584
1.62,2.5,0.10983
1.73,2.5,0.0959078
1.84,2.5,0.0883251
1.95,2.5,0.0777635
2.06,2.5,0.069156
2.17,2.5,0.0619708
2.28,2.5,0.0546251
2.39,2.5,0.0526497
2.5,2.5,0.0466221
1.4,3,0.154996
1.51,3,0.129105
1.62,3,0.114055
1.73,3,0.0985481
1.84,3,0.0872891
1.95,3,0.0750174
2.06,3,0.0676617
2.17,3,0.0623083
2.28,3,0.0570115
2.39,3,0.0515268
2.5,3,0.0472877
1.4,3.5,0.153921
1.51,3.5,0.135303
1.62,3.5,0.115215
1.73,3.5,0.0986725
1.84,3.5,0.0864935
1.95,3.5,0.0804473
2.06,3.5,0.068573
2.17,3.5,0.0621405
2.28,3.5,0.0560468
2.39,3.5,0.0522726
2.5,3.5,0.0466077
1.4,4,0.155444
1.51,4,0.135071
1.62,4,0.109935
1.73,4,0.105609
1.84,4,0.0904305
1.95,4,0.0793306
2.06,4,0.0683616
2.17,4,0.06286
2.28,4,0.0545872
2.39,4,0.0489095
2.5,4,0.0463043
1.4,4.5,0.15877
1.51,4.5,0.137127
1.62,4.5,0.117484
1.73,4.5,0.102093
1.84,4.5,0.0883545
1.95,4.5,0.0787374
2.06,4.5,0.0703784
2.17,4.5,0.066248
2.28,4.5,0.0562687
2.39,4.5,0.0518355
2.5,4.5,0.0450116
1.4,5,0.165615
1.51,5,0.135504
1.62,5,0.121647
1.73,5,0.102558
1.84,5,0.0903386
1.95,5,0.080898
2.06,5,0.0741134
2.17,5,0.0659123
2.28,5,0.0583351
2.39,5,0.0520657
2.5,5,0.0495541
1.4,5.5,0.161369
1.51,5.5,0.137841
1.62,5.5,0.115723
1.73,5.5,0.103592
1.84,5.5,0.0928249
1.95,5.5,0.0809273
2.06,5.5,0.0720431
2.17,5.5,0.0653825
2.28,5.5,0.058764
2.39,5.5,0.0532948
2.5,5.5,0.0493571
1.4,6,0.168551
1.51,6,0.140262
1.62,6,0.124312
1.73,6,0.104543
1.84,6,0.094181
1.95,6,0.081307
2.06,6,0.0739187
2.17,6,0.0655495
2.28,6,0.0623454
2.39,6,0.0507694
2.5,6,0.0489289
