r_leg,W_winding[mm],Mag_B[tesla]
1.6,1,0.162823
1.73,1,0.136807
1.86,1,0.116898
1.99,1,0.105348
2.12,1,0.0948363
2.25,1,0.0840641
2.38,1,0.0737752
2.51,1,0.0686918
2.64,1,0.0603029
2.77,1,0.0555621
2.9,1,0.0515844
1.6,1.5,0.161549
1.73,1.5,0.137306
1.86,1.5,0.117403
1.99,1.5,0.104743
2.12,1.5,0.0898685
2.25,1.5,0.0798253
2.38,1.5,0.0728292
2.51,1.5,0.066064
2.64,1.5,0.0589261
2.77,1.5,0.0549904
2.9,1.5,0.0491713
1.6,2,0.157624
1.73,2,0.136332
1.86,2,0.123593
1.99,2,0.103579
2.12,2,0.0913597
2.25,2,0.0817483
2.38,2,0.0746154
2.51,2,0.0668816
2.64,2,0.0592027
2.77,2,0.0526298
2.9,2,0.0492744
1.6,2.5,0.160069
1.73,2.5,0.13756
1.86,2.5,0.119185
1.99,2.5,0.10613
2.12,2.5,0.0893822
2.25,2.5,0.0825038
2.38,2.5,0.0688917
2.51,2.5,0.0630774
2.64,2.5,0.0600354
2.77,2.5,0.050805
2.9,2.5,0.0455366
1.6,3,0.163167
1.73,3,0.139967
1.86,3,0.120094
1.99,3,0.103303
2.12,3,0.0895074
2.25,3,0.081835
2.38,3,0.0763852
2.51,3,0.0668054
2.64,3,0.0584534
2.77,3,0.0516125
2.9,3,0.0475314
1.6,3.5,0.160689
1.73,3.5,0.140243
1.86,3.5,0.121991
1.99,3.5,0.105812
2.12,3.5,0.0899275
2.25,3.5,0.0832457
2.38,3.5,0.0742141
2.51,3.5,0.0640957
2.64,3.5,0.0566026
2.77,3.5,0.0535863
2.9,3.5,0.0493544
1.6,4,0.16905
1.73,4,0.142197
1.86,4,0.11959
1.99,4,0.103837
2.12,4,0.0912978
2.25,4,0.0815545
2.38,4,0.0735876
2.51,4,0.0656225
2.64,4,0.0589825
2.77,4,0.051454
2.9,4,0.0490887
1.6,4.5,0.171518
1.73,4.5,0.146755
1.86,4.5,0.124524
1.99,4.5,0.105349
2.12,4.5,0.0908809
2.25,4.5,0.0848348
2.38,4.5,0.0723278
2.51,4.5,0.0656926
2.64,4.5,0.0590502
2.77,4.5,0.0553359
2.9,4.5,0.0489463
1.6,5,0.175303
1.73,5,0.143053
1.86,5,0.124577
1.99,5,0.106441
2.12,5,0.0944527
2.25,5,0.083806
2.38,5,0.0710983
2.51,5,0.0670721
2.64,5,0.0583974
2.77,5,0.0546432
2.9,5,0.0485483
1.6,5.5,0.176192
1.73,5.5,0.147851
1.86,5.5,0.127307
1.99,5.5,0.112924
2.12,5.5,0.0971856
2.25,5.5,0.0795032
2.38,5.5,0.0749717
2.51,5.5,0.0709828
2.64,5.5,0.059791
2.77,5.5,0.0555833
2.9,5.5,0.0494857
1.6,6,0.176755
1.73,6,0.149305
1.86,6,0.126567
1.99,6,0.108245
2.12,6,0.0962018
2.25,6,0.0884737
2.38,6,0.0752384
2.51,6,0.0679675
2.64,6,0.0624945
2.77,6,0.0562507
2.9,6,0.0474849
